,P01983,"26*38*6.5 ",0M,3773,120,,,,,,
,"P12287
",28*38*7/9,7V3,2790,200,,,,,"HA0990,",
,P02121,20*30*5/6,1РМ,966,90,,,,,,
,P03602,"27.7*38*8 ",7V1,1430,250,,,,,,
,P02121,20*30*5/6,1РМ,879,90,,,,,,
,P08962,19*29*4.5/5,1РМ,5231,90,,,,,,
,P05604,19*32*6/7,1РМ,783,90,,,,,,
,P02884,"27*44*8.5 ",7V1,904,250,,,,,,
,P07151,20*42.5*7/7.8,1РМ,1255,120,,,,,,
,P09476,20.6*41.2*6.3,0M,492,120,,,,,,
,P02120,"19*30*5/6.5 ",1РМ,1651,90,,,,,,
,P05710,19*34.6*6.2/9.2,1РМ,685,90,,,,,,
,P05604,19*32*6/7,1РМ,1191,90,,,,,,
,P09852,25*37.8*6.5,7V1,816,250,,,,,,
,P01988,27*38*5.5,0M,676,120,,,,,,
,P02120,"19*30*5/6.5 ",1РМ,1837,90,,,,,,
,P09239,"25*41.5*7.5 ",7V2,1142,250,,,,,,
,P05390,28*47*4.2/5,0M,2600,120,,,,,,
,P11214,18.75*30*5/5.5,1РМ,952,90,,,,,,
,P09852,25*37.8*6.5,7V1,732,250,,,,,,
,P11214,18.75*30*5/5.5,1РМ,945,90,,,,,,
,P02883,27*41*8.5,7V1,727,250,,,,,,
,P03621,26*45*8.5,7V1,697,250,,,,,,
,P03875,28*37.6*6,0M,467,120,,,,,,
,P10598,23.3*30*4/6.7,4V2,1004,120,,,,,,
,P08464,28*39*15,6V2MA,828,250,,,,,,
,P08464,28*39*15,6V2MA,884,250,,,,,,
,P10673,25*38*7,0M,1071,120,,,,,,
,P00001,"24*41*8.5 ",7V1,284,250,,,,,,
,P02467,27*37*3.5/7,0M,393,120,,,,,,
,P09536,29*43*7,0M,877,120,,,,,,
,P05604,19*32*6/7,1PM,1243,90,,,,,,
,P08093,28*38*7,0M,463,120,,,,,,
,P01847,"28*37*5 ",0M,500,120,,,,,,
,P05604,19*32*6/7,1РМ,1253,90,,,,,,
,P07925,24*38.2*8,7V1,365,250,,,,,,
,P05604,19*32*6/7,1РМ,1363,90,,,,,,
,P05710,19*34.6*6.2/9.2,1РМ,919,90,,,,,,
,P03603,"27.7*39*8.5 ",7V1,1282,250,,,,,,
,"P01993 ",19*29*7/7.8,1PM,221,120,,,,,"672.HD094,",
,P06800,25*37.54*7,7V1,649,250,,,,,,
,P08923,35*56*8,7V1,353,250,,,,,,
,P02652,32*46*8.5,7V1,770,250,,,,,,
,P01831,23.3*29.8*4.5,0M,127,90,,,,,,
,P05352,38*51*8,7V1,32,250,,,,,,
,P02121,20*30*5/6,1РМ,1348,90,,,,,,
,P05444,19*30*5/5.7,1РМ,215,90,,,,,,
,P03621,26*45*8.5,7V1,766,250,,,,,,
,P10532,30*50*10,7V1,391,250,,,,,,
,P08093,"28*38*7 ",0M,548,120,,,,,,
,P03521,27.7*46*9/10,7V1PM,422,250,,,,,,
,P11625,28*44*7,7V1,743,250,,,,,,
,P09840,20.6*41.3*6.5/8,1РМ,410,120,,,,,,
,P03971,19.05*34.6*6.3/7.3,1РМ,226,90,,,,,,
,P09849,25*38.5/45*4/10,6V2,442,250,,,,,,
,P02288,19*32*7/7.8,1РМ,213,90,,,,,,
,P00028,24*39*8.5/16.5,7V2,328,250,,,,,,
,P02883,27*41*8.5,7V1,909,250,,,,,,
,P02122,25*38*7/8,1РМ,514,120,,,,,,
,P08869,"26*43*8.5 ",7V1,244,250,,,,,,
,P02653,32*50*8.5,7V1,398,250,,,,,,
,P11607,32.7*42.7*6.7,0M,480,250,,,,,,
,P03221,"24*33*5/5.5 ",1РМ,330,120,,,,,,
,P02121,20*30*5/6,1РМ,1489,90,,,,,,
,P03624,30*50*8.5,7V1,579,250,,,,,,
