"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
"1479",,"1484",,"Product #1479 Variation","product-1479-variation","http://test6.isite39.ru/?product_variation=product-1479-variation",,,"Variation",,"No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,,"No","No",,,,,,"Publish","Open"
"1479",,"1485",,"Product #1479 Variation","product-1479-variation-2","http://test6.isite39.ru/?product_variation=product-1479-variation-2",,,"Variation",,"No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,,"No","No",,,,,,"Publish","Open"
,,"2586","1","F-00074","f-00074","http://test6.isite39.ru/?????/f-00074/","OPEL",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2587","2","F-00355","f-00355","http://test6.isite39.ru/?????/f-00355/","DAEWOO",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2588","3","F-00608","f-00608","http://test6.isite39.ru/?????/f-00608/","CHRYSLER",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2589","4","F-00102","f-00102","http://test6.isite39.ru/?????/f-00102/","CHEVROLET",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","172","In Stock","No","No",,,,,,"Publish","Open"
,,"2590","5","F-00178","f-00178","http://test6.isite39.ru/?????/f-00178/","OPEL",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","148","In Stock","No","No",,,,,,"Publish","Open"
,,"2591","6","F-00726","f-00726","http://test6.isite39.ru/?????/f-00726/","CHRYSLER, DODGE",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","297","In Stock","No","No",,,,,,"Publish","Open"
,,"2592","7","F-00372","f-00372","http://test6.isite39.ru/?????/f-00372/","OPEL",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","370","In Stock","No","No",,,,,,"Publish","Open"
,,"2593","8","F-00523","f-00523","http://test6.isite39.ru/?????/f-00523/","CHRYSLER",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","359","In Stock","No","No",,,,,,"Publish","Open"
,,"2594","9","F-00432","f-00432","http://test6.isite39.ru/?????/f-00432/","OPEL",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","100","In Stock","No","No",,,,,,"Publish","Open"
,,"2595","10","F-00597","f-00597","http://test6.isite39.ru/?????/f-00597/","SUBARU",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","100","In Stock","No","No",,,,,,"Publish","Open"
,,"2596","11","F-00744","f-00744","http://test6.isite39.ru/?????/f-00744/","DAEWOO",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","100","In Stock","No","No",,,,,,"Publish","Open"
,,"2597","12","F-00365","f-00365","http://test6.isite39.ru/?????/f-00365/","AUDI, BMW",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","76","In Stock","No","No",,,,,,"Publish","Open"
,,"2598","13","F-00052","f-00052","http://test6.isite39.ru/?????/f-00052/","AUDI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2599","14","F-00555","f-00555","http://test6.isite39.ru/?????/f-00555/","FORD TEMPO",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","3","In Stock","No","No",,,,,,"Publish","Open"
