"Product SKU","Product Name","Description","Type","Price","Quantity"
,"Product #1479 Variation",,"Variation",,
,"Product #1479 Variation",,"Variation",,
"1","F-00074","OPEL",,"60","48"
"2","F-00355","DAEWOO",,"60","43"
"3","F-00608","CHRYSLER","???????","60","377"
"4","F-00102","CHEVROLET",,"90","165"
"5","F-00178","OPEL","???????","90","168"
"6","F-00726","CHRYSLER, DODGE",,"90","357"
"7","F-00372","OPEL",,"90","368"
"8","F-00523","CHRYSLER",,"90","354"
"9","F-00432","OPEL",,"60","74"
"10","F-00597","SUBARU",,"60","82"
"11","F-00744","DAEWOO",,"60","98"
"12","F-00365","AUDI, BMW",,"30","75"
"13","F-00052","AUDI",,"30","5"
"14","F-00555","FORD TEMPO",,"60","2"
"15","F-00149","FORD MONDEO",,"60","3"
"16","F-00894","FORD TRANSIT",,"60",0
"17","F-00689","FIAT",,"60","3"
"18","F-01106","FORD FOCUS",,"60",0
"19","F-00976","MERCEDES",,"30","85"
"20","F-00148","VOLVO",,"60","136"
"21","F-00506","FIAT DUKATO",,"60","131"
"22","F-00606","MITSUBISHI",,"30","7"
"23","F-00356","FIAT",,"60","76"
"24","F-00414","MAZDA","???????","30","142"
"25","F-00473","KIA",,"30","146"
"26","F-00154","NISSAN",,"30","36"
"27","F-00465","TOYOTA",,"60","329"
"28","F-00165","TOYOTA, LEXUS",,"60","306"
"29","F-00122","WV",,"90","36"
"30","F-00687","CHEVROLET",,"90","40"
"31","F-00781X","Ремонтный размер",,"90","58"
"32","F-00982","MAN",,"60","34"
"33","F-00519","DAF",,"60","38"
"34","F-00182","AUDI",,"30","16"
"35","F-00080","RENAULT ESPACE",,"30","16"
"36","F-00632","RENAULT SAFRANE",,"30","20"
"37","F-00782","RENAULT CLIO",,"30","20"
"38","F-00152","NISSAN",,"30","10"
"39","F-00771","FORD","???????","30","6"
"40","F-00855","MAZDA",,"30","22"
"41","F-01091","SUBARU",,"30","17"
"42","F-00051","BMW",,"30","67"
"43","F-00183","NISSAN",,"30","74"
"44","F-00517","AUDI, WV",,"30","70"
"45","F-00648","OPEL, IVECO",,"30","73"
"46","F-00117","FORD",,"30","152"
"47","F-00959","SUBARU",,"30","149"
"48","F-00164","ISUZU",,"60","76"
"49","F-00741","TOYOTA",,"60","79"
"50","F-00421X","Ремонтный размер",,"90","77"
"51","F-00185","NISSAN",,"30","374"
"52","F-00464","CHRYSLER",,"60","387"
"53","F-00484X","Ремонтный размер",,"90","381"
"54","F-00561X","Ремонтный размер",,"90","33"
"55","F-00136","MITSUBISHI",,"30","89"
"56","F-00657","ISUZU",,"30","90"
"57","F-00189","NISSAN, MAZDA",,"30","15"
"58","F-00395","SUZUKI, HONDA",,"30","49"
"59","F-01140","SUBARU, DAIHATSU",,"30","61"
"60","F-00313X","Ремонтный размер",,"90","30"
"61","F-00993X","Ремонтный размер",,"30","256"
"62","F-00163X","Ремонтный размер",,"90","266"
"63","F-00307","SUBARU",,"60","55"
"64","F-00313","WV",,"30","163"
"65","F-00484","NISSAN",,"30","508"
"66","F-00459","TOYOTA",,"60","10"
"67","F-00993","NISSAN, INFINITI",,"30",0
"68","F-00110","RENAULT, SUZUKI","???????","30",0
