"Product SKU","Product Name","Price","Quantity"
,"Product #1479 Variation",,
,"Product #1479 Variation",,
"1","F-0000A","120","488"
"2","F-00074","60","48"
"3","F-00355","60","23"
"4","F-00608","60","371"
"5","F-00102","90","161"
"6","F-00178","90","166"
"7","F-00726","90","340"
"8","F-00372","90","362"
"9","F-00523","90","347"
"10","F-00432","60","53"
"11","F-00597","60","55"
"12","F-00744","60","57"
"13","F-00365","30","68"
"14","F-00052","30","299"
"15","F-00149","60","59"
"16","F-00555","60","61"
"17","F-00689","60","63"
"18","F-00894","60","60"
"19","F-01106","60","58"
"20","F-00976","30","79"
"21","F-00148","60","136"
"22","F-00506","60","129"
"23","F-00556","60","489"
"24","F-00356","60","70"
"25","F-00414","30","139"
"26","F-00473","30","135"
"27","F-00154","30","30"
"28","F-00465","60","323"
"29","F-00165","60","304"
"30","F-00122","90","33"
"31","F-00687","90","34"
"32","F-00781X","60","52"
"33","F-00519","60","34"
"34","F-00982","60","28"
"35","F-00182","30","10"
"36","F-00080","30","114"
"37","F-00632","30","118"
"38","F-00782","30","107"
"39","F-00152","30","11"
"40","F-00771","30","11"
"41","F-00855","30","13"
"42","F-01091","30","11"
"43","F-00051","30","62"
"44","F-00183","30","72"
"45","F-00517","30","68"
"46","F-00648","30","71"
"47","F-00117","30","150"
"48","F-00959","30","145"
"49","F-00164","60","73"
"50","F-00741","60","75"
"51","F-00421X","60","75"
"52","F-00185","30","370"
"53","F-00464","60","382"
"54","F-00484X","60","361"
"55","F-00114X","60","76"
"56","F-00366X","60","78"
"57","F-00403X","60","73"
"58","F-00600X","60","78"
"59","F-00779X","60","55"
"60","F-01072X","60","74"
"61","F-00561X","60","19"
"62","F-00136","30","81"
"63","F-00657","30","81"
"64","F-00189","30","24"
"65","F-00395","30","24"
"66","F-01140","30","27"
"67","F-00313X","60","28"
"68","F-00993X","30","244"
"69","F-00163X","60","264"
"70","F-00307","60","49"
"71","F-00313","30","154"
"72","F-00484","30","863"
"73","F-00459","60","480"
"74","F-00993","30","375"
"75","F-00110","30","388"
"76","F-00740","30","336"
"77","F-00111","30","64"
"78","F-00315","30",0
"79","F-00769","30",0
"80","F-00114","30","118"
"81","F-00403","30","123"
"82","F-00600","30","132"
"83","F-00779","30","105"
"84","F-01072","30","137"
"85","F-00366","30","146"
"86","F-00187","30",0
"87","F-00418","30","18"
"88","F-01051","30","18"
"89","F-01052","30",0
"90","F-00030","30",0
"91","F-00039","30","78"
"92","F-00040","30","81"
"93","F-00011","30","243"
"94","F-00037","30","259"
"95","F-00849","30","202"
"96","F-01100","30","391"
"97","F-01105","30","391"
"98","F-00140","60","164"
"99","F-00886","60","195"
"100","F-00184","60","227"
"101","F-00308","60","298"
"102","F-00607","30","394"
"103","F-00144","60","116"
"104","F-00143","60","21"
"105","F-00145","60","21"
"106","F-00421","60","21"
"107","F-01071","60","19"
"108","F-00529","60","45"
"109","F-00087","30","49"
"110","F-00677","30","49"
"111","F-00688","30","47"
"112","F-00895","30","43"
"113","F-00868","30","247"
"114","F-00368","30","222"
"115","F-00561","30","243"
"116","F-00146","60","66"
"117","F-00158","60","48"
"118","F-00163","60","38"
"119","F-00641","60","176"
"120","F-00436","60","74"
"121","F-00915","60","69"
"122","F-00063X","60","50"
"123","F-00297X","60","50"
"124","F-00558X","60","59"
"125","F-00663X","60","40"
"126","F-00681X","60","58"
"127","F-00887X","60","55"
"128","F-00978X","60","60"
"129","F-01159X","60","60"
"130","F-00138","60","94"
"131","F-00063","30","143"
"132","F-00297","30","162"
"133","F-00558","30","149"
"134","F-00663","30","112"
"135","F-00681","30","150"
"136","F-00887","30","138"
"137","F-00978","30","152"
"138","F-01159","30","162"
"139","F-00054","30","97"
"140","F-00666","30","98"
"141","F-00884","30","241"
"142","F-00058","30","316"
"143","F-00217","90","89"
"144","F-00153","60","53"
"145","F-00502","60","40"
"146","F-00609","60","144"
"147","F-00640","60","132"
"148","F-00562","60","485"
"149","F-00166","60","50"
"150","F-00216","90","15"
"151","F-01153","60","45"
"152","F-01167","60","46"
"153","F-00186A","60","95"
"154","F-00100A","60","14"
"155","F-00100","60","91"
"156","F-00186","60","105"
"157","F-00531X","90","100"
"158","F-00659","90","90"
"159","F-00667X","90","94"
"160","F-00108","60","100"
"161","F-00420","60","116"
"162","F-00109","60","357"
"163","F-00104","60","65"
"164","F-00191","60","113"
"165","F-00547X","120","79"
"166","F-01148","60","222"
"167","F-00168","60","153"
"168","F-00667","60","158"
"169","F-00720","60","160"
"170","F-00531","60","65"
"171","F-00493","60","43"
"172","F-00442","60","375"
"173","F-00605","60","374"
"174","F-00547","90","57"
"175","F-00497XX","120","72"
"176","F-00494XX","120","65"
"177","F-00576","90","50"
"178","F-00027X","120","69"
"179","F-00284X","120","75"
"180","F-00796X","120","83"
"181","F-00497X","120","320"
"182","F-00283X","120","86"
"183","F-00381X","120","24"
"184","F-00219X","120","30"
"185","F-00670X","120","27"
"186","F-00806X","120","43"
"187","F-00948X","120","39"
"188","F-00494X","120","328"
"189","F-00670AX","120","64"
"190","F-00220X","120","77"
"191","F-00807X","120","42"
"192","F-00949X","120","40"
"193","F-00221X","120","14"
"194","F-00222X","120","10"
"195","F-00512X","120","8"
"196","F-00672X","120","18"
"197","F-00797X","120","6"
"198","F-00123X","120","164"
"199","F-00027","60","312"
"200","F-00284","90","208"
"201","F-00425","60","98"
"202","F-00069","60","108"
"203","F-00193","60","91"
"204","F-00680","60","107"
"205","F-00759","60","108"
"206","F-00890","60","111"
"207","F-00098","90",0
"208","F-00280","90","167"
"209","F-00796","90","165"
"210","F-00497","90","318"
"211","F-00018XX","120","55"
"212","F-00035XX","120","56"
"213","F-00441XX","120","55"
"214","F-00642XX","120","50"
"215","F-00024XX","120","18"
"216","F-00396XX","120","16"
"217","F-00283","90","47"
"218","F-01010","60","88"
"219","F-00304","60","40"
"220","F-00333","60","40"
"221","F-00381","90","74"
"222","F-00889","60","18"
"223","F-00219","90","137"
"224","F-00670","90","150"
"225","F-00806","90","46"
"226","F-00948","90","48"
"227","F-00494","90","256"
"228","F-00670A","120","65"
"229","F-00220","90","16"
"230","F-00223XX","120","279"
"231","F-00807","90","39"
"232","F-00949","90","35"
"233","F-00221","90","20"
"234","F-00221M","90","70"
"235","F-00222","90","24"
"236","F-00222M","90","70"
"237","F-00512","90","70"
"238","F-00672","90","70"
"239","F-00797","90","67"
"240","F-00513","90","94"
"241","F-00123","90","43"
"242","F-00748","60","71"
"243","F-00526","60",0
"244","F-00938","60",0
"245","F-0000B","120","498"
"246","F-00440X","120","30"
"247","F-00739X","120","13"
"248","F-00018X","120","34"
"249","F-00035X","120","35"
"250","F-00441X","120","25"
"251","F-00642X","120","31"
"252","F-00016X","120","21"
"253","F-00034X","120","23"
"254","F-00024X","120","11"
"255","F-00396X","120","11"
"256","F-01179X","120","9"
"257","F-00402X","120","31"
"258","F-00499X","120","37"
"259","F-00225X","120","21"
"260","F-00292X","120","26"
"261","F-00926X","120","25"
"262","F-00901","90","11"
"263","F-00019","60","65"
"264","F-00865","60","76"
"265","F-00440","90","101"
"266","F-00739","90","77"
"267","F-00089X","60","294"
"268","F-00028XX","120","219"
"269","F-00097","60","2"
"270","F-00018","90","32"
"271","F-00035","90","34"
"272","F-00441","90","37"
"273","F-00642","90","44"
"274","F-00016","90","90"
"275","F-00034","90","110"
"276","F-00012","90","86"
"277","F-00024","90","87"
"278","F-00396","90","83"
"279","F-01179","90","58"
"280","F-00012M","90","65"
"281","F-00024M","90","75"
"282","F-00396M","90","75"
"283","F-01179M","90","60"
"284","F-00194","60","306"
"285","F-00916","60","237"
"286","F-00226XM","120","35"
"287","F-00226XX","120","56"
"288","F-00360XX","120","33"
"289","F-00223","90","265"
"290","F-00195","60","506"
"291","F-00402","90","147"
"292","F-00499","90","166"
"293","F-00090XX","120","347"
"294","F-00224","90","58"
"295","F-00225","90","162"
"296","F-00292","90","142"
"297","F-00225M","90","80"
"298","F-00292M","90","95"
"299","F-00926","90","72"
"300","F-00079","90","58"
"301","F-00082","60","161"
"302","F-00032","60","103"
"303","F-00036","60","110"
"304","F-00118","60","104"
"305","F-00758","60","69"
"306","F-01065","60","88"
"307","F-00296","60","278"
"308","F-00086","60","239"
"309","F-00130","60","248"
"310","F-00590","60","256"
