"Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"65|793|772|773|929|153|143|144|367|218|182|373|632|960","F-00484|F-00624|F-00809|F-00900|F-00704|F-00531|F-00420|F-00109|F-00095M|F-00123|F-00284|F-00445|F-00541|F-01223","5|5|5|5|5|5|5|5|5|2|2|5|5|5","150|450|450|450|450|300|300|300|450|180|180|450|450|450"
"561|518|402|65|523|247|83|364|866|504|887|85","F-00714|F-00448|F-00397|F-00484|F-00031|F-00035|F-00039|F-00048|F-00081|F-00093|F-00358|F-00030","10|10|10|100|10|10|10|10|10|10|10|5","900|900|900|3000|600|900|300|600|600|900|600|150"
"268|523|530|583|668|821|954|976|1020|819|54|477|747|475","F-00499|F-00031|F-00527|F-00592X|F-00259M|F-00378|F-00450|F-00205|F-00444M|F-00589A|F-00561X|F-00038|F-00378X|F-00014","4|10|2|4|6|7|6|4|6|3|6|5|6|4","360|600|180|480|540|630|540|360|540|270|540|450|720|360"
"63|92|433|502|601|640|681|708|715|858|891|985|1023|1024","F-00307|F-00886|F-01099|F-00071|F-00501X|F-00694|F-00839X|F-00589XX|F-00821|F-01090|F-00622XX|F-01030|F-00276|F-01095","6|10|10|5|8|8|10|6|8|8|2|8|8|8","360|600|900|450|960|720|1200|540|720|720|240|720|720|720"
"48|65|105|114|195|204|284|346|371|391|402|414|498|511|517|523|532|554|625|643|669|700|768|770|778|785|791|792|821|845|857|924|928|926|1019|1044|1055|1058","F-00164|F-00484|F-00368|F-00138|F-00497|F-00494|F-00130|F-00783|F-00830|F-00829|F-00397|F-00231|F-00245M|F-00369|F-01175|F-00031|F-00488|F-00661|F-00490|F-00262|F-00376|F-00101|F-00128|F-00698|F-00960|F-00940|F-00766|F-00751|F-00378|F-00269|F-00816|F-00062M|F-00537|F-00539|F-00444|F-00451XX|F-00398|F-00939","4|10|4|4|4|4|6|4|4|4|2|4|4|4|8|4|4|4|4|2|2|3|4|4|4|4|4|4|10|2|4|4|3|4|6|4|4|4","240|300|120|240|360|360|360|360|360|360|180|360|360|360|720|240|360|360|240|180|180|180|360|360|360|360|360|360|900|180|360|360|270|360|540|480|360|360"
"2|39|65|89|370|498|499|657|667|669|672|715|723|730|734|741|797","F-00355|F-00771|F-00484|F-01100|F-00652|F-00245M|F-00107|F-00952|F-00259|F-00376|F-00400|F-00821|F-00266|F-01029|F-00825|F-00931|F-00996","3|1|3|4|3|3|2|3|2|4|2|2|2|2|2|2|2","180|30|90|120|270|270|180|270|180|360|180|180|180|180|180|180|180"
"863|741|845|543|547","F-00729|F-00931|F-00269|F-00288|F-00534","20|20|20|30|9","1800|1800|1800|2700|810"
"517|701|412|68|526|530|539|668|69|243|426|430|414|347|385|386|395|557|624|657|700|70","F-01175|F-00408|F-01009|F-00110|F-00244|F-00527|F-00935|F-00259M|F-00740|F-00089X|F-00171|F-00171A|F-00231|F-00831|F-00387|F-00387M|F-01018|F-00241M|F-00124|F-00952|F-00101|F-00111","6|4|6|4|3|3|4|3|2|2|2|2|2|4|2|3|4|2|2|2|2|3","540|240|540|120|270|270|360|270|60|120|180|180|180|360|120|180|360|180|120|180|120|90"
"871|151|547|464|475|473|444|42|364|623|4|70|46|552|553|465|368|149|806|426|430|5|34|43|266|443|472|374|498|497|783|486|803|825|876|832|512|451|815|65|53|513|447|807|152|500|54|140|786|725|362|305|61|78|90","F-00495|F-00720|F-00534|F-00534X|F-00014|F-00014X1|F-00014X|F-00051|F-00048|F-00047|F-00102|F-00111|F-00117|F-00120|F-00120M|F-00120X|F-00121|F-00168|F-00169|F-00171|F-00171A|F-00178|F-00182|F-00183|F-00195|F-00243X|F-00243X1|F-00243XX|F-00245M|F-00245|F-00268A|F-00311|F-00319|F-00394|F-00433A|F-00434|F-00467|F-00467X|F-00479|F-00484|F-00484X|F-00485|F-00485X|F-00487|F-00493|F-00530|F-00561X|F-00659|F-00847|F-00847X|F-00966|F-00966X|F-00993X|F-01072|F-01105","4|4|4|4|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1","240|240|360|480|180|240|240|60|120|120|180|60|30|90|90|120|90|60|60|90|90|90|30|30|60|120|120|120|90|90|90|60|60|60|90|60|90|120|60|30|180|90|120|60|60|60|90|90|90|120|90|120|30|30|30"
"83|285|622|741|498|503|280|1023|745|818|623|287|679|61|591|590|66|22|821|121|548|547|530|812|817|144|114|491|436|553|700|506|804|808|90|829|932|902|365|391|65|74|82|627","F-00039|F-00296|F-00303|F-00931|F-00245M|F-00071M|F-00118|F-00276|F-00589X|F-00589M|F-00047|F-00820|F-00826|F-00993X|F-00255M|F-00255|F-00459|F-00606|F-00378|F-00978|F-00534M|F-00534|F-00527|F-00981|F-00589|F-00109|F-00138|F-00724|F-00135X|F-00120M|F-00101|F-01166|F-00682|F-01024|F-01105|F-00022|F-00017|F-00417X|F-01158|F-00829|F-00484|F-00366|F-01052|F-00206","5|5|1|5|5|6|7|5|5|5|5|5|5|10|1|4|5|5|6|11|1|4|5|5|5|5|5|1|5|5|5|5|5|5|1|5|5|5|5|5|10|4|5|5","150|300|60|450|450|540|420|450|600|450|300|300|450|300|120|360|300|150|540|330|90|360|450|300|450|300|300|90|600|450|300|450|300|300|30|450|450|600|300|450|300|120|150|300"
