"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Quantity","Order Items: Total"
"2650|3378|3357|3358|3514|2738|2728|2729|2952|2803|2767|2958|3217|3545","|||||||||||||","65|793|772|773|929|153|143|144|367|218|182|373|632|960","5|5|5|5|5|5|5|5|5|2|2|5|5|5","150|450|450|450|450|300|300|300|450|180|180|450|450|450"
"3146|3103|2987|2650|3108|2832|2668|2949|3451|3089|3472|2670","|||||||||||","561|518|402|65|523|247|83|364|866|504|887|85","10|10|10|100|10|10|10|10|10|10|10|5","900|900|900|3000|600|900|300|600|600|900|600|150"
"2853|3108|3115|3168|3253|3406|3539|3561|3605|3404|2639|3062|3332|3060","|||||||||||||","268|523|530|583|668|821|954|976|1020|819|54|477|747|475","4|10|2|4|6|7|6|4|6|3|6|5|6|4","360|600|180|480|540|630|540|360|540|270|540|450|720|360"
"2648|2677|3018|3087|3186|3225|3266|3293|3300|3443|3476|3570|3608|3609","|||||||||||||","63|92|433|502|601|640|681|708|715|858|891|985|1023|1024","6|10|10|5|8|8|10|6|8|8|2|8|8|8","360|600|900|450|960|720|1200|540|720|720|240|720|720|720"
"2633|2650|2690|2699|2780|2789|2869|2931|2956|2976|2987|2999|3083|3096|3102|3108|3117|3139|3210|3228|3254|3285|3353|3355|3363|3370|3376|3377|3406|3430|3442|3509|3513|3511|3604|3629|3640|3643","|||||||||||||||||||||||||||||||||||||","48|65|105|114|195|204|284|346|371|391|402|414|498|511|517|523|532|554|625|643|669|700|768|770|778|785|791|792|821|845|857|924|928|926|1019|1044|1055|1058","4|10|4|4|4|4|6|4|4|4|2|4|4|4|8|4|4|4|4|2|2|3|4|4|4|4|4|4|10|2|4|4|3|4|6|4|4|4","240|300|120|240|360|360|360|360|360|360|180|360|360|360|720|240|360|360|240|180|180|180|360|360|360|360|360|360|900|180|360|360|270|360|540|480|360|360"
"2587|2624|2650|2674|2955|3083|3084|3242|3252|3254|3257|3300|3308|3315|3319|3326|3382","||||||||||||||||","2|39|65|89|370|498|499|657|667|669|672|715|723|730|734|741|797","3|1|3|4|3|3|2|3|2|4|2|2|2|2|2|2|2","180|30|90|120|270|270|180|270|180|360|180|180|180|180|180|180|180"
"3448|3326|3430|3128|3132","||||","863|741|845|543|547","20|20|20|30|9","1800|1800|1800|2700|810"
"3102|3286|2997|2653|3111|3115|3124|3253|2654|2828|3011|3015|2999|2932|2970|2971|2980|3142|3209|3242|3285|2655","|||||||||||||||||||||","517|701|412|68|526|530|539|668|69|243|426|430|414|347|385|386|395|557|624|657|700|70","6|4|6|4|3|3|4|3|2|2|2|2|2|4|2|3|4|2|2|2|2|3","540|240|540|120|270|270|360|270|60|120|180|180|180|360|120|180|360|180|120|180|120|90"
"3456|2736|3132|3049|3060|3058|3029|2627|2949|3208|2589|2655|2631|3137|3138|3050|2953|2734|3391|3011|3015|2590|2619|2628|2851|3028|3057|2959|3083|3082|3368|3071|3388|3410|3461|3417|3097|3036|3400|2650|2638|3098|3032|3392|2737|3085|2639|2725|3371|3310|2947|2890|2646|2663|2675","||||||||||||||||||||||||||||||||||||||||||||||||||||||","871|151|547|464|475|473|444|42|364|623|4|70|46|552|553|465|368|149|806|426|430|5|34|43|266|443|472|374|498|497|783|486|803|825|876|832|512|451|815|65|53|513|447|807|152|500|54|140|786|725|362|305|61|78|90","4|4|4|4|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1","240|240|360|480|180|240|240|60|120|120|180|60|30|90|90|120|90|60|60|90|90|90|30|30|60|120|120|120|90|90|90|60|60|60|90|60|90|120|60|30|180|90|120|60|60|60|90|90|90|120|90|120|30|30|30"
"2668|2870|3207|3326|3083|3088|2865|3608|3330|3403|3208|2872|3264|2646|3176|3175|2651|2607|3406|2706|3133|3132|3115|3397|3402|2729|2699|3076|3021|3138|3285|3091|3389|3393|2675|3414|3517|3487|2950|2976|2650|2659|2667|3212","|||||||||||||||||||||||||||||||||||||||||||","83|285|622|741|498|503|280|1023|745|818|623|287|679|61|591|590|66|22|821|121|548|547|530|812|817|144|114|491|436|553|700|506|804|808|90|829|932|902|365|391|65|74|82|627","5|5|1|5|5|6|7|5|5|5|5|5|5|10|1|4|5|5|6|11|1|4|5|5|5|5|5|1|5|5|5|5|5|5|1|5|5|5|5|5|10|4|5|5","150|300|60|450|450|540|420|450|600|450|300|300|450|300|120|360|300|150|540|330|90|360|450|300|450|300|300|90|600|450|300|450|300|300|30|450|450|600|300|450|300|120|150|300"
"3654|3655|3643|3644","|||","1069|1070|1058|1059","20|20|20|10","1800|1800|1800|900"
"2607|2729|2870|2926|2958|2987|3085|3117|3423|2593|2591","||||||||||","22|144|285|341|373|402|500|532|838|8|6","7|10|30|20|10|10|10|2|10|5|5","210|600|1800|1200|900|900|600|180|900|450|450"
"3262|3415|3039|2659|2704|2650|3513|3093|3392|3387|3375|3374|3263|2987","|||||||||||||","677|830|454|74|119|65|928|508|807|802|790|789|678|402","4|3|3|8|15|3|4|8|6|10|4|3|4|8","360|270|360|240|450|90|360|720|360|600|360|270|360|720"
"2652|2669|2722|2728|2658|2915|2920|2923|2968|2976|2990|3001|3012|3018|3072|3090|3116|3138|3157|3303|3437|3333|3492|3503|3520|3551|3563|3650|3829","||||||||||||||||||||||||||||","67|84|137|143|73|330|335|338|383|391|405|416|427|433|487|505|531|553|572|718|852|748|907|918|935|966|978|1065|1103","2|2|2|2|4|2|2|1|2|4|2|1|2|2|2|2|2|2|2|1|2|2|2|1|1|6|1|2|1","60|60|60|60|120|240|240|120|180|360|240|90|180|180|240|240|180|180|180|90|180|180|120|120|120|540|90|180|90"
"2662|3252|3378|3455|3622|3645|3623|3649|3652|3109|3112|2645|2660|2663|2711|3270|3320|3361|2739|2742|2905|3302|3621|2658|2659||3390|3481|3378|3456|2646|2748|3520","||||||||||||||||||||||||||||||||","77|667|793|870|1037|1060|1038|1064|1067|524|527|60|75|78|126|685|735|776|154|157|320|717|1036|73|74|-|805|896|793|871|61|163|935","20|10|10|10|10|16|6|6|6|6|6|10|10|20|20|10|10|10|6|10|20|6|8|10|5|1|6|6|6|6|6|5|4","600|600|1200|900|1200|1440|720|540|540|540|360|600|300|600|1200|900|1200|900|360|600|2400|540|960|300|300||720.00|540.00|720.00|540.00|360.00|300.00|480.00"
"2662|2685|2756|2852|2892|2891|2889|2968|3038|3036|3283|3295|3453|3481|3415|3480|3551|3580|3579|3655|3807|3833|2734|2737","|||||||||||||||||||||||","77|100|171|267|307|306|304|383|453|451|698|710|868|896|830|895|966|995|994|1070|1081|1107|149|152","30|5|5|4|10|10|10|3|10|10|6|6|6|6|6|6|4|2|2|2|2|3|3|3","900|300|300|360|600|600|600|270|900|900|540|540|540|540|540|540|360|180|180|180|180|270|180|180"
