"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"2650","","65","F-00484","5","150"
"3378","","793","F-00624","5","450"
"3357","","772","F-00809","5","450"
"3358","","773","F-00900","5","450"
"3514","","929","F-00704","5","450"
"2738","","153","F-00531","5","300"
"2728","","143","F-00420","5","300"
"2729","","144","F-00109","5","300"
"2952","","367","F-00095M","5","450"
"2803","","218","F-00123","2","180"
"2767","","182","F-00284","2","180"
"2958","","373","F-00445","5","450"
"3217","","632","F-00541","5","450"
"3545","","960","F-01223","5","450"
"3146","","561","F-00714","10","900"
"3103","","518","F-00448","10","900"
"2987","","402","F-00397","10","900"
"2650","","65","F-00484","100","3000"
"3108","","523","F-00031","10","600"
"2832","","247","F-00035","10","900"
"2668","","83","F-00039","10","300"
"2949","","364","F-00048","10","600"
"3451","","866","F-00081","10","600"
"3089","","504","F-00093","10","900"
"3472","","887","F-00358","10","600"
"2670","","85","F-00030","5","150"
"2853","","268","F-00499","4","360"
"3108","","523","F-00031","10","600"
"3115","","530","F-00527","2","180"
"3168","","583","F-00592X","4","480"
"3253","","668","F-00259M","6","540"
"3406","","821","F-00378","7","630"
"3539","","954","F-00450","6","540"
"3561","","976","F-00205","4","360"
"3605","","1020","F-00444M","6","540"
"3404","","819","F-00589A","3","270"
"2639","","54","F-00561X","6","540"
"3062","","477","F-00038","5","450"
"3332","","747","F-00378X","6","720"
"3060","","475","F-00014","4","360"
"2648","","63","F-00307","6","360"
"2677","","92","F-00886","10","600"
"3018","","433","F-01099","10","900"
"3087","","502","F-00071","5","450"
"3186","","601","F-00501X","8","960"
"3225","","640","F-00694","8","720"
"3266","","681","F-00839X","10","1200"
"3293","","708","F-00589XX","6","540"
"3300","","715","F-00821","8","720"
"3443","","858","F-01090","8","720"
"3476","","891","F-00622XX","2","240"
"3570","","985","F-01030","8","720"
"3608","","1023","F-00276","8","720"
"3609","","1024","F-01095","8","720"
"2633","","48","F-00164","4","240"
"2650","","65","F-00484","10","300"
"2690","","105","F-00368","4","120"
"2699","","114","F-00138","4","240"
"2780","","195","F-00497","4","360"
"2789","","204","F-00494","4","360"
"2869","","284","F-00130","6","360"
"2931","","346","F-00783","4","360"
"2956","","371","F-00830","4","360"
"2976","","391","F-00829","4","360"
"2987","","402","F-00397","2","180"
