"Product SKU","Product Name","Price","Quantity","Product size,Product tip,Product tcs"
"2000","F-00247A","95","",""
"1156","F-00057XA","95","50",""
"1155","F-00022XA","95","95",""
"1154","F-00444XA","95","100",""
"1153","F-00587XA","95","100",""
"1152","F-00458","60","100",""
"1151","F-00594","120","110",""
"1150","F-01113","95","499",""
"1149","F-01347","95","499",""
"1148","F-00211X","95","298",""
"1147","F-00786","60","249",""
"1146","F-00786X","60","250",""
"1145","F-01340","60","299",""
"1144","F-00798","95","499",""
"1143","F-01344","95","499",""
"1142","F-00070","95","491",""
"1141","F-01332","60","498",""
"1140","F-00815","60","498",""
"1139","F-01171","60","498",""
"1138","F-00109X","60","493",""
"1137","F-00368X","60","80",""
"1136","F-00561X","60","80",""
"1135","F-00868X","60","80",""
"1134","F-00849X","60","79",""
"1133","F-00037X","60","80",""
"1132","F-00011X","60","78",""
"1131","F-00041","60","498",""
"2586","F-0000A","","",""
"","F-0000A","","",""
"1130","F-00247A","95","273",""
"1129","F-00635A","250","166",""
"1128","F-00559","200","43",""
"1127","F-00639","200","30",""
"1126","F-00549","200","23",""
"1124","F-01089","200","26",""
"1122","F-00647","95","261",""
"1121","F-01142","95","354",""
"1119","F-01142X","120","16",""
"1125","F-01087","200","62",""
"1123","F-00804","200","36",""
"1120","F-01037","95","320",""
"1118","F-01037X","120","16",""
"1117","F-01142XX","120","95",""
"1116","F-01037XX","120","112",""
"1115","F-00277","95","59",""
"1114","F-00383","95","283",""
"1113","F-00277X","120","78",""
"1112","F-01139","120","261",""
"1111","F-00451","95","100",""
"1110","F-00988","95","239",""
"1109","F-00939","95","252",""
"1107","F-01062","95","133",""
"1106","F-00398","95","162",""
"1105","F-00424","95","350",""
"1104","F-01178","95","314",""
"1103","F-00984","95","48",""
"1102","F-01085","95","22",""
"1101","F-00451X","120","37",""
"1100","F-00988X","120","20",""
"1099","F-00939X","120","1",""
"1098","F-01062X","120","11",""
"1097","F-00398X","120","13",""
"1096","F-01178X","120","53",""
"1095","F-00451XX","120","245",""
"1094","F-00988XX","120","113",""
"1093","F-00939XX","120","113",""
"1092","F-01062XX","120","114",""
"1091","F-00398XX","120","92",""
"1090","F-00908","95","230",""
"1089","F-00742","95","159",""
"1088","F-00857","200","106",""
"1087","F-01006","95","203",""
"1086","F-01043","95","295",""
"1085","F-00827","95","277",""
"1084","F-00745","95","123",""
"1083","F-00581","95","148",""
"1082","F-00902A","95","71",""
"1081","F-00902","95","331",""
"1080","F-00560","95","315",""
"1079","F-00275","95","131",""
"1078","F-00973","95","32",""
"1077","F-00803","95","32",""
"1076","F-00644","95","31",""
"1075","F-01095","95","315",""
"1074","F-00276","95","470",""
"1073","F-01003","95","100",""
"1072","F-00678","95","236",""
"1071","F-00880","95","623",""
"1070","F-00444M","95","665",""
"1069","F-00444","95","497",""
"1068","F-00737M","95","148",""
"1067","F-00737","95","171",""
"1066","F-00103M","95","176",""
"1065","F-00103","95","73",""
"1064","F-00569","95","363",""
"1063","F-00446","95","205",""
"1062","F-00446A","95","0",""
"1061","F-01002","95","427",""
"1060","F-0000D","95","1935",""
"1059","F-00207","95","57",""
"1058","F-00176","95","0",""
"1057","F-00211","95","497",""
"1056","F-00880X","120","668",""
"1055","F-00091","95","455",""
"1054","F-00857X","120","79",""
"1053","F-01006X","120","82",""
"1052","F-00827X","120","157",""
"1051","F-00745X","120","77",""
"1050","F-00581X","120","81",""
"1049","F-00902XA","120","74",""
"1048","F-00902X","120","150",""
"1047","F-00560X","120","179",""
"1046","F-00275X","120","65",""
"1045","F-01095X","120","68",""
"1044","F-00276X","120","23",""
"1043","F-00678X","120","71",""
"1042","F-00444X","120","113",""
"1041","F-00737X","120","155",""
"1040","F-00569X","120","155",""
"1039","F-00103X","120","131",""
"1038","F-00207X","120","3",""
"1037","F-00827XX","120","57",""
"1036","F-00910","95","0",""
"1035","F-01104","95","134",""
"1034","F-01030","95","117",""
"1033","F-00560XX","120","12",""
"1032","F-00582","95","210",""
"1031","F-01095XX","120","39",""
"1030","F-00276XX","120","107",""
"1028","F-00932","120","47",""
"1027","F-00444XX","120","49",""
"1026","F-00205","95","291",""
"1025","F-00289A","95","4",""
"1024","F-00290","95","222",""
"1023","F-00289","95","239",""
"1022","F-00587M","95","394",""
"1021","F-00587","95","232",""
"1020","F-00588","95","468",""
"1019","F-00910X","120","75",""
"1018","F-01104X","120","29",""
"1017","F-01030X","120","37",""
"1016","F-00880XX","120","81",""
"1015","F-00290X","120","77",""
"1014","F-00289X","120","71",""
"1013","F-00587X","120","482",""
"1012","F-00588X","120","68",""
"1011","F-00622","95","664",""
"1010","F-01104XX","120","37",""
"1009","F-01223","95","559",""
"1008","F-00374","95","300",""
"1007","F-00755","95","86",""
"1006","F-00718","95","207",""
"1005","F-00585","95","90",""
"1004","F-00486A","95","40",""
"1003","F-01063","95","180",""
"1002","F-00450","95","158",""
"1001","F-00801","95","166",""
"1000","F-00274","95","15",""
"999","F-00719","95","82",""
"998","F-00274M","95","99",""
"997","F-00756","95","51",""
"996","F-01125","95","227",""
"994","F-00273","95","216",""
"993","F-00272","95","20",""
"992","F-00725","95","60",""
"991","F-00800","95","265",""
"990","F-00046","60","443",""
"989","F-00587XX","120","100",""
"988","F-00850","95","132",""
"987","F-00208","95","134",""
"986","F-00588XX","120","63",""
"985","F-01050","95","127",""
"984","F-00704","95","164",""
"983","F-00593","95","180",""
"982","F-00417A","95","174",""
"981","F-00762","95","90",""
"980","F-00486","95","86",""
"979","F-00029","95","72",""
"978","F-00021","95","74",""
"977","F-00417","95","303",""
"976","F-00033","95","299",""
"975","F-00017","95","310",""
"974","F-00271","95","80",""
"973","F-00539M","95","481",""
"972","F-00539","95","272",""
"971","F-00537","95","508",""
"970","F-00209","60","286",""
"969","F-00062M","95","336",""
"968","F-00062","60","274",""
"967","F-00727","95","46",""
"966","F-00622X","120","475",""
"965","F-01030XX","120","76",""
"964","F-00755X","120","35",""
"963","F-00718X","120","44",""
"962","F-00585X","120","82",""
"961","F-01063X","120","64",""
"960","F-00801X","120","93",""
"959","F-00450X","120","65",""
"958","F-00756X","120","46",""
"957","F-00719X","120","225",""
"956","F-00274X","120","37",""
"955","F-01125X","120","122",""
"954","F-00273X","120","120",""
"953","F-00272X","120","74",""
"952","F-00725X","120","82",""
"951","F-00800X","120","59",""
"950","F-01050X","120","69",""
"949","F-00762X","120","3",""
"948","F-00486X","120","6",""
"947","F-00029X","120","4",""
"946","F-00021X","120","4",""
"945","F-00593X","120","59",""
"944","F-00417X","120","72",""
"943","F-00033X","120","59",""
"942","F-00017X","120","65",""
"941","F-00539X","120","261",""
"940","F-00539XM","120","493",""
"939","F-00537X","120","114",""
"938","F-00062X","120","129",""
"937","F-00435","95","141",""
"936","F-00073","95","150",""
"935","F-00622XX","120","42",""
"934","F-00755XX","120","39",""
"933","F-00980","60","230",""
"932","F-00673","60","240",""
"931","F-00358","60","756",""
"930","F-00762XX","120","13",""
"929","F-00486XX","120","14",""
"928","F-00029XX","120","14",""
"927","F-00021XX","120","15",""
"926","F-00033XX","120","29",""
"925","F-00017XX","120","27",""
"924","F-01069","95","6",""
"923","F-01066","95","0",""
"922","F-00537XX","120","68",""
"921","F-00062XX","120","88",""
"920","F-00433A","95","45",""
"919","F-00980X","120","147",""
"918","F-00673X","120","148",""
"917","F-00495","60","370",""
"916","F-00433","95","370",""
"915","F-00343","95","314",""
"914","F-00633","60","186",""
"913","F-00431","60","177",""
"912","F-00081","60","161",""
"911","F-01069X","120","43",""
"910","F-00522","95","267",""
"909","F-00729","95","64",""
"908","F-00113","60","1203",""
"907","F-00752","95","143",""
"906","F-00750","95","139",""
"905","F-00286","95","262",""
"904","F-01090","95","281",""
"903","F-00843","95","134",""
"902","F-00816","95","178",""
"901","F-01023","95","342",""
"900","F-00869","95","443",""
"899","F-00045","95","315",""
"898","F-00706","95","295",""
"897","F-00709","95","256",""
"896","F-00961","95","215",""
"895","F-00814","95","54",""
"894","F-00269M","95","101",""
"893","F-00743","95","81",""
"892","F-00269","95","232",""
"891","F-00204","60","244",""
"890","F-00269A","95","244",""
"889","F-01151","95","141",""
"888","F-00749","95","108",""
"887","F-00662M","95","128",""
"886","F-00662","95","289",""
"885","F-00546M","95","142",""
"884","F-00546","95","201",""
"883","F-00139M","95","132",""
"882","F-00139","95","240",""
"881","F-00478","95","157",""
"880","F-00172","95","144",""
"879","F-00548","60","28",""
"878","F-00434","60","52",""
"877","F-00943","95","305",""
"876","F-00057","95","168",""
"875","F-00022","95","0",""
"874","F-00754","95","229",""
"873","F-00492","95","184",""
"872","F-00589AM","120","20",""
"871","F-00394","60","194",""
"870","F-00835","60","406",""
"869","F-00589A","95","345",""
"868","F-00378","95","1898",""
"867","F-01048","95","220",""
"866","F-00589M","95","217",""
"865","F-00404","60","245",""
"864","F-00142","60","189",""
"863","F-00981M","95","228",""
"862","F-00981","60","241",""
"861","F-00479M","95","230",""
"860","F-00479","60","229",""
"859","F-00026M","95","230",""
"858","F-00026","60","213",""
"857","F-00589","95","116",""
"856","F-00584","95","147",""
"855","F-00409","95","190",""
"854","F-01024","60","230",""
"853","F-00487","60","327",""
"852","F-00169","60","320",""
"851","F-00979","60","240",""
"850","F-00682","60","233",""
"849","F-00319","60","250",""
"848","F-00088","60","190",""
"847","F-00134","60","139",""
"846","F-00132","60","145",""
"845","F-00996","95","112",""
"844","F-00970","95","98",""
"843","F-01177","95","162",""
"842","F-00810","95","177",""
"841","F-00751","95","0",""
"840","F-00951","95","173",""
"839","F-00872","95","170",""
"838","F-00624","95","158",""
"837","F-00766","95","109",""
"836","F-00375","95","72",""
"835","F-01045","95","161",""
"834","F-00847","95","139",""
"833","F-00940","95","567",""
"832","F-00899","95","147",""
"831","F-00697","95","137",""
