"Product SKU","Product Name","Price","Quantity","size","tcs"
"3166","3166","","3","",""
"3165","3165","","3","",""
"3164","3164","","3","",""
"3163","3163","","3","",""
"3162","3162","","3","",""
"3161","3161","","3","",""
"3160","3160","","3","",""
"3159","3159","","1","",""
"3158","3158","","9","",""
"3157","3157","","3","",""
"3156","3156","","7","",""
"3155","3155","","1","",""
"3154","3154","","3","",""
"3153","3153","","4","",""
"3152","3152","","5","",""
"3151","3151","","3","",""
"3150","3150","","3","",""
"3149","3149","","3","",""
"3148","3148","","3","",""
"3147","3147","","3","",""
"3146","3146","","17","",""
"3145","3145","","18","",""
"3144","3144","","3","",""
"3143","3143","","3","",""
"3142","3142","","3","",""
"3141","3141","","3","",""
"3140","3140","","3","",""
"3139","3139","","3","",""
"3138","3138","","21","",""
"3137","3137","","3","",""
"3136","3136","","1","",""
"3135","3135","","3","",""
"3134","3134","","3","",""
"3133","3133","","27","",""
"3132","3132","","5","",""
"3131","3131","","2","",""
"1175","F-00718XX","200","150","29*50*10","P08892"
"3130","3130","","2","",""
"3129","3129","","18","",""
"3128","3128","","18","",""
"3127","3127","","3","",""
"3126","3126","","3","",""
"3125","3125","","3","",""
"3124","3124","","1","",""
"3123","3123","","3","",""
"3122","3122","","3","",""
"3121","3121","","18","",""
"3120","3120","","3","",""
"3119","3119","","3","",""
"3118","3118","","6","",""
"3117","3117","","17","",""
"3116","3116","","18","",""
"3115","3115","","17","",""
"3114","3114","","18","",""
"3113","3113","","3","",""
"3112","3112","","3","",""
"3111","3111","","18","",""
"3110","3110","","3","",""
"3109","3109","","3","",""
"3108","3108","","3","",""
"3107","3107","","18","",""
"3106","3106","","3","",""
"3105","3105","","3","",""
"3104","3104","","18","",""
"3103","3103","","3","",""
"3102","3102","","3","",""
"3101","3101","","5","",""
"3100","3100","","3","",""
"3099","3099","","3","",""
"3098","3098","","3","",""
"3097","3097","","3","",""
"3096","3096","","3","",""
"3095","3095","","3","",""
"3094","3094","","3","",""
"3093","3093","","3","",""
"3092","3092","","3","",""
"3091","3091","","3","",""
"3090","3090","","3","",""
"3089","3089","","3","",""
"3088","3088","","3","",""
"3087","3087","","4","",""
"3086","3086","","3","",""
"3085","3085","","3","",""
"3084","3084","","3","",""
"3083","3083","","11","",""
"3082","3082","","3","",""
"3081","3081","","3","",""
"3080","3080","","3","",""
"3079","3079","","3","",""
"3078","3078","","3","",""
"3077","3077","","1","",""
"3076","3076","","3","",""
"3075","3075","","3","",""
"3074","3074","","17","",""
"3073","3073","","18","",""
"3072","3072","","19","",""
"3071","3071","","3","",""
"3070","3070","","18","",""
"3069","3069","","3","",""
"3068","3068","","13","",""
"3067","3067","","6","",""
"3066","3066","","3","",""
"3065","3065","","3","",""
"3064","3064","","3","",""
"3063","3063","","1","",""
"3062","3062","","1","",""
"3061","3061","","2","",""
"3060","3060","","3","",""
"3059","3059","","1","",""
"3058","3058","","18","",""
"1174","F-00099","100","1","","P02670"
"3057","3057","","17","",""
"3056","3056","","6","",""
"3055","3055","","3","",""
"3054","3054","","5","",""
"3053","3053","","3","",""
"3052","3052","","14","",""
"3051","3051","","7","",""
"3050","3050","","7","",""
"3049","3049","","2","",""
"3048","3048","","3","",""
"3047","3047","","4","",""
"3046","3046","","3","",""
"3045","3045","","3","",""
"3044","3044","","7","",""
"3043","3043","","3","",""
"3042","3042","","0","",""
"3041","3041","","17","",""
"3040","3040","","3","",""
"3039","3039","","3","",""
"3038","3038","","17","",""
"3037","3037","","17","",""
"3036","3036","","3","",""
"3035","3035","","3","",""
"3034","3034","","3","",""
"3033","3033","","2","",""
"3032","3032","","3","",""
"3031","3031","","9","",""
"3030","3030","","3","",""
"3029","3029","","3","",""
"3028","3028","","18","",""
"3027","3027","","8","",""
"3026","3026","","16","",""
"3025","3025","","18","",""
"3024","3024","","3","",""
"3023","3023","","18","",""
"3022","3022","","3","",""
"3021","3021","","5","",""
"3020","3020","","3","",""
"3019","3019","","3","","3019"
"3018","3018","150","19","",""
"3017","3017","100","3","",""
"3016","3016","130","2","",""
"3015","3015","100","2","",""
"3014","3014","850","1","",""
"3013","3013","300","1","",""
"3012","3012","300","2","",""
"3011","3011","300","7","",""
"3010","3010","70","47","",""
"920","F-00433A","200","11","",""
"3009","3009","200","48","",""
"3008","3008","70","98","",""
"3007","3007","70","100","",""
"1172","F-00413","70","77","20*32*7","P10869"
"1171","F-00513AX","200","50","21.5*39*8.5","P11440"
"1170","F-00061","100","298","22*32*7/8","P11606"
"2003","A00625","20","75","",""
"2002","A00679","20","155","",""
"2001","A00706","20","166","",""
"3006","3006","200","19","",""
"3005","3005","200","19","",""
"1169","F-00378A","100","460","28*38*7/9","P08458"
"3004","3004","200","19","",""
"3003","3003","100","19","",""
"3002","3002","100","48","",""
"3001","3001","200","15","",""
"3000","3000","200","13","35*47*7
","P11499"
"2000","A00733","20","266","23*28*2.5",""
"1168","F-01130","200","148","24*45*8.5","P11547"
"1167","F-00235","200","143","24*45*8.5","P11547"
"1166","F-00253A","200","192","25.5*41.5*8.5","P05567"
"1165","F-00824","200","239","25*44.5*8.5","P02470"
"1164","F-01569","200","258","24.5*38.2*12","P05617"
"1163","F-00423A","200","17","25*36/41*3/9","N29102"
"1162","F-00247A","200","248","25.5*44.5*8.5","P05568"
"1161","F-00376X","200","217","25.5*45*8","P08859"
"1160","F-00090X","200","160","23.5*39*8.5","P08792"
"1131","F-00041","100","459","14.6*35*4.7",""
"1133","F-00037X","100","58","18.5*34.6*6.2/9.2","P11389"
"1134","F-00849X","100","59","18.5*34.6*6.2/9.2","P11389"
"1135","F-00868X","100","77","18.5*34.6*6.2/9.2",""
"1136","F-00561X","100","61","18.5*34.6*6.2/9.2",""
"1137","F-00368X","100","54","18.5*34.6*6.2/9.2",""
"1138","F-00109X","100","428","19.5*42.5*7/7.8","P11388"
"1139","F-01171","100","407","20*32*7/9.4",""
"1140","F-00815","100","431","20.5*46*3.3/5",""
"1141","F-01332","100","436","",""
"1142","F-00070","200","345","25*38.2*7","P11384"
"1143","F-01344","200","418","25*42.6*8","P11385"
"1144","F-00798","200","419","27.7*42*13/14","P11383"
"1145","F-01340","100","276","28*38.3*5/5.8",""
"1146","F-00786X","100","241","28.5*39*5.6/6","P05369"
"1147","F-00786","100","96","29*39*5.6/6","P05369"
"1148","F-00211X","200","296","",""
"1149","F-01347","200","458","35*55*8.5","P11386"
"1150","F-01113","200","492","",""
"1151","F-00594","200","96","",""
"1152","F-00458","100","52","30*42*7/8",""
"1153","F-00587XA","100","163","",""
"1154","F-00444XA","200","87","",""
"1155","F-00022XA","200","65","",""
"1156","F-00057XA","200","50","",""
"1132","F-00011X","100","40","18.5*34.6*6.2/9.2","P11389"
"1129","F-00635A","350","153","60*74*8.5","P05863"
"1128","F-00559","350","28","56*70*5.5","P07914"
"1127","F-00639","350","17","52*66*5.5","P07913"
"1126","F-00549","350","14","52*66*5.5","P07913"
"1124","F-01089","350","18","41*57.3*9","P07069"
"1122","F-00647","200","252","38*52.6*6.4","P09478"
"1121","F-01142","200","220","38*51*8","P05352"
"1119","F-01142X","200","241","37.5*51*8","P08925"
"1125","F-01087","350","359","44.5*58.5*8.5/9","P08470"
"1123","F-00804","350","26","41*57.3*9","P07069"
"1120","F-01037","200","50","38*51*8","P05352"
"1118","F-01037X","200","230","37.5*51*8","P08925"
"1117","F-01142XX","200","80","37*51*8","P55548"
"1116","F-01037XX","200","102","37*51*8","P55548"
"1115","F-00277","200","338","36*50.5*9","P08426"
"1114","F-00383","200","270","36*44*5","P03652"
"1113","F-00277X","200","358","35.5*50.5*9","P08425"
"1112","F-01139","200","353","35*61*9","P08924"
"1111","F-00451","350","0","35*56*8","P08923"
"1110","F-00988","200","61","35*53*9","P11624"
"1109","F-00939","200","91","35*53*9","P11624"
"1107","F-01062","200","186","35*50*8","P05620"
"1106","F-00398","200","132","35*50*8","P05620"
"1105","F-00424","200","311","35*47*7/8.5","P03863"
"1104","F-01178","200","286","35*47*7","P05405"
"1103","F-00984","200","329","35*46*7 ","P02665"
"1102","F-01085","200","24","35*45*6.5 ","N65656"
"1101","F-00451X","200","286","34.5*56*8","P08922"
"1100","F-00988X","200","144","34.5*53*8","P08921"
"1099","F-00939X","200","139","34.5*53*8","P08921"
"1098","F-01062X","200","146","34.5*50*8","P08920"
"1097","F-00398X","200","124","34.5*50*8","P08920"
"1096","F-01178X","200","133","34.5*47*7","P08919"
"1095","F-00451XX","200","226","34*56*8","P55547"
"1094","F-00988XX","200","100","34*53*8","P55546"
"1093","F-00939XX","200","102","34*53*8","P55546"
"1092","F-01062XX","200","104","34*50*8","P55545"
"1091","F-00398XX","200","62","34*50*8","P55545"
"1090","F-00908","200","216","33*46*7","P01852"
"1089","F-00742","200","271","32.7*42.7*6.7","P11607"
"1088","F-00857","300","87","32*56*9","P02494"
"1087","F-01006","200","165","32*55*12/15","P05614"
"1086","F-01043","200","262","32*54*9/10","P07924"
"1085","F-00827","200","141","32*53*8.5","P03553"
"1084","F-00745","200","217","32*52.2*10","P08918"
"1083","F-00581","200","212","32*52.2*10","P08918"
"1082","F-00902A","200","45","32*50*8.5","P05577"
"1081","F-00902","200","257","32*50*8.5","P02653"
"1080","F-00560","200","6","32*50*8.5","P02653"
"1079","F-00275","200","338","32*49*8.5","P03551"
"1078","F-00973","200","67","32*47.5*10/11","P08469"
"1077","F-00803","200","70","32*47.5*10/11","P08469"
"1076","F-00644","200","69","32*47.5*10/11","P08469"
"1075","F-01095","200","582","32*47*8.5","P08917"
"1074","F-00276","200","166","32*46*8.5","P02652"
"1073","F-01003","200","56","32*45.5*7","P02471"
"1072","F-00678","200","395","32*44/45*8.5/18.7","P08468"
"1071","F-00880","200","564","32*44.5*8.5","P09871"
"1070","F-00444M","200","286","32*44.5*8.5","P09871"
"1069","F-00444","200","355","32*44.5*8.5","P02431"
"1068","F-00737M","200","52","32*44.5*6.5","P10535"
"1067","F-00737","200","62","32*44.5*6.5","P00822"
"1066","F-00103M","200","39","32*44.5*6.5","P10535"
"1065","F-00103","200","50","32*44.5*6.5","P00822"
"1064","F-00569","200","292","32*44.5*5.5/7","P08354"
"1063","F-00446","200","131","32*44*8.5/10","P09539"
"1062","F-00446A","200","0","32*44*6.5/7","P04002"
"1061","F-01002","200","340","32*43*5","P09538"
"1060","F-0000D","200","1913","32*42*3","P55551"
"1059","F-00207","200","25","32*40*5/9","P06463"
"1058","F-00176","200","294","32*40*5 ","P05522"
"1057","F-00211","200","449","32*40*5","P11392"
"1056","F-00880X","200","626","31.7*44.5*8","P07232"
"1055","F-00091","200","443","31.7*38.1*3/5","P55543"
"1054","F-00857X","200","214","31.5*56*9","P08916"
"1053","F-01006X","200","364","31.5*55*12/15 ","P08452"
"1052","F-00827X","200","421","31.5*53*8.5","P08915"
"1051","F-00745X","200","75","31.5*52.2*10","P55542"
"1050","F-00581X","200","77","31.5*52.2*10","P55542"
"1049","F-00902XA","100","68","31.5*50*8.5","P55541"
"1048","F-00902X","200","132","31.5*50*8.5","P08914"
"1047","F-00560X","200","123","31.5*50*8.5","P08914"
"1046","F-00275X","200","42","31.5*49*8.5 ","P08913"
"1045","F-01095X","200","240","31.5*47*8.5 ","P08912"
"1044","F-00276X","200","2","31.5*46*8.5 ","P08911"
"1043","F-00678X","200","149","31.5*44/45*8.5/18.7","P08467"
"1042","F-00444X","200","197","31.5*44.5*8","P09870"
"1041","F-00737X","200","139","31.5*44.5*6.5","P11007"
"1040","F-00569X","200","149","31.5*44.5*6.5","P11007"
