"Product SKU","Product Name","Price","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"K-00006","K-00006","900","9","30*54*18.6","Георгий","ПОРШЕНЬ","","","","",""
"F-01236B","F-01236B","400","20","18*55*70","7831 040 176","ПЫЛЬНИК","","","","",""
"O-02959","O-02959","80","20","98*104*3","","O-Ring","","","","",""
"O-02873A","O-02873A","140","20","98*103*2.5","","O-Ring","","","","",""
"O-02958","O-02958","80","20","96*102*3","","O-Ring","","","","",""
"O-02873","O-02873","80","20","96*101*2.5","","O-Ring","","","","",""
"O-02957A","O-02957A","80","20","95*101*3","","O-Ring","","","","",""
"O-03084","O-03084","100","15","94*102*4","","O-Ring","","","","",""
"O-02957","O-02957","80","20","94*100*3","","O-Ring","","","","",""
"O-03043","O-03043","100","20","90*98*4","","O-Ring","","","","",""
"O-02955","O-02955","80","20","90*96*3","","O-Ring","","","","",""
"O-02871A","O-02871A","80","20","90*95*2.5","","O-Ring","","","","",""
"O-02793","O-02793","60","20","90*94*2","","O-Ring","","","","",""
"O-02907","O-02907","20","20","9*15*3","","O-Ring","","","","",""
"O-02809","O-02809","20","20","9*14*2.5","","O-Ring","","","","",""
"O-02724","O-02724","20","20","9*13*2","","O-Ring","","","","",""
"O-02621","O-02621","20","20","9*12*1.5","","O-Ring","","","","",""
"O-02792V","O-02792V","60","20","87*91*2","","O-Ring","","","","",""
"O-02953V","O-02953V","100","20","86*92*3","","O-Ring","","","","",""
"O-02870A","O-02870A","140","20","86*91*2.5","","O-Ring","","","","",""
"O-02799","O-02799","60","20","86*90*2","","O-Ring","","","","",""
"O-02952","O-02952","60","20","85*91*3","","O-Ring","","","","",""
"O-02952A","O-02952A","60","20","84*90*3","","O-Ring","","","","",""
"O-02879","O-02879","80","20","84*89*2.5","","O-Ring","","","","",""
"O-02791A","O-02791A","80","20","84*88*2","","O-Ring","","","","",""
"O-02791","O-02791","80","20","83*87*2","","O-Ring","","","","",""
"O-03036","O-03036","100","20","82*90*4","","O-Ring","","","","",""
"O-02951A","O-02951A","80","20","82*88*3","","O-Ring","","","","",""
"O-02789A","O-02789A","60","20","82*86*2","","O-Ring","","","","",""
"O-02949A","O-02949A","60","20","80*86*3","","O-Ring","","","","",""
"O-02869","O-02869","60","20","80*85*2,5","","O-Ring","","","","",""
"O-02788A","O-02788A","60","20","80*84*2","","O-Ring","","","","",""
"O-02906","O-02906","20","20","8*14*3","","O-Ring","","","","",""
"O-02814","O-02814","20","20","8*13*2.5","","O-Ring","","","","",""
"O-02711V","O-02711V","20","20","8*12*2","","O-Ring","","","","",""
