"Product SKU","Product Name","Price","Quantity","size"
"O-05001","O-05001","40","94","32*39*3.5"
"O-03018","O-03018","40","92","28*36*4"
"O-02003","O-02003","20","14","3*6*1.5"
"O-04025","O-04025","80","90","63*68*2.5"
"O-04024","O-04024","80","92","56*60*2"
"O-04023","O-04023","60","72","47*54*3.5"
"O-04022","O-04022","60","92","45*51*3"
"O-04021","O-04021","60","195","44*49*2.5"
"O-04020","O-04020","60","80","43*49*3"
"O-04019","O-04019","60","77","41*49*4"
"O-04018","O-04018","60","101","41*47*3"
"O-04017","O-04017","60","59","40*46*3"
"O-04016","O-04016","60","86","39*45*3"
"O-04015","O-04015","60","48","38*42*2"
"O-04014","O-04014","40","78","35*41*3"
"O-04013","O-04013","40","63","34*41*3.5"
"O-04012","O-04012","40","73","34*40*3"
"O-04011","O-04011","40","46","34*39*2.5"
"O-04010","O-04010","40","52","33*39*3"
"O-04009","O-04009","40","98","33*38*2.5"
"O-04008","O-04008","40","117","31*36*2.5"
"O-04007","O-04007","40","88","29*35*3"
"O-04006","O-04006","20","100","29*34*2.5"
"O-04005","O-04005","20","101","26*38*4"
"O-04004","O-04004","20","135","22*27*2.5"
"O-04003","O-04003","20","180","21*26*2.5"
"O-04002","O-04002","20","76","19*26*3,5"
"O-04001","O-04001","20","90","7*11*2"
"O-02959","O-02959","80","20","98*104*3"
"O-02873A","O-02873A","140","20","98*103*2.5"
"O-02958","O-02958","80","20","96*102*3"
"O-02873","O-02873","80","20","96*101*2.5"
"O-02957A","O-02957A","80","20","95*101*3"
"O-03084","O-03084","100","15","94*102*4"
"O-02957","O-02957","80","20","94*100*3"
"O-03043","O-03043","100","20","90*98*4"
"O-02955","O-02955","80","20","90*96*3"
"O-02871A","O-02871A","80","20","90*95*2.5"
"O-02793","O-02793","60","60","90*94*2"
"O-02907","O-02907","20","13","9*15*3"
"O-02809","O-02809","20","14","9*14*2.5"
"O-02724","O-02724","20","14","9*13*2"
"O-02621","O-02621","20","14","9*12*1.5"
"O-02792V","O-02792V","60","20","87*91*2"
"O-02953V","O-02953V","100","20","86*92*3"
"O-02870A","O-02870A","140","20","86*91*2.5"
"O-02799","O-02799","60","20","86*90*2"
"O-02952","O-02952","60","20","85*91*3"
"O-02952A","O-02952A","60","20","84*90*3"
"O-02879","O-02879","80","20","84*89*2.5"
"O-02791A","O-02791A","80","20","84*88*2"
"O-02791","O-02791","80","20","83*87*2"
"O-03036","O-03036","100","20","82*90*4"
"O-02951A","O-02951A","80","20","82*88*3"
"O-02789A","O-02789A","60","20","82*86*2"
"O-02949A","O-02949A","60","20","80*86*3"
"O-02869","O-02869","60","20","80*85*2,5"
"O-02788A","O-02788A","60","20","80*84*2"
"O-02906","O-02906","20","0","8*14*3"
"O-02814","O-02814","20","14","8*13*2.5"
"O-02711V","O-02711V","20","60","8*12*2"
"O-02618","O-02618","20","14","8*11*1.5"
"O-02949","O-02949","80","20","79*85*3"
"O-02948A","O-02948A","60","20","78*84*3"
"O-02868","O-02868","80","20","78*83*2.5"
"O-02787A","O-02787A","80","20","78*82*2"
"O-02789","O-02789","80","20","77*81*2"
"O-02947A","O-02947A","80","20","76*82*3"
"O-02867A","O-02867A","60","20","76*81*2.5"
"O-02786A","O-02786A","60","20","76*80*2"
"O-02950","O-02950","60","20","75*81*3"
"O-02867","O-02867","60","20","75*80*2.5"
"O-02786","O-02786","40","20","75*79*2"
"O-02947","O-02947","60","20","74*80*3"
"O-02785A","O-02785A","60","20","74*78*2"
"O-02946A","O-02946A","80","20","73*79*3"
"O-02785","O-02785","60","20","73*77*2"
"O-02946","O-02946","60","8","72*78*3"
"O-02850","O-02850","60","20","72*77*2.5"
"O-02784A","O-02784A","40","20","72*76*2"
"O-02784","O-02784","80","20","71*75*2"
"O-02945","O-02945","60","20","70*76*3"
"O-02845","O-02845","60","20","70*75*2.5"
"O-02783A","O-02783A","40","20","70*74*2"
"O-02905","O-02905","20","20","7*13*3"
"O-02805","O-02805","20","100","7*12*2.5"
"O-02605","O-02605","20","19","7*10*1,5"
"O-03046","O-03046","80","20","68*76*4"
"O-02943A","O-02943A","60","20","68*74*3"
"O-02770","O-02770","40","20","68*72*2"
"O-02782A","O-02782A","60","20","67*71*2"
"O-02864B","O-02864B","60","20","66*71*2.5"
"O-02782","O-02782","60","20","66*70*2"
"O-02942","O-02942","40","20","65*71*3"
"O-02781A","O-02781A","40","100","65*69*2"
"O-03042","O-03042","80","20","64*72*4"
