"Product SKU","Product Name","Price","Quantity","size","tcs","tip"
"P04058","P04058","1000","5","150*190","P04058","TC"
"P10294","P10294","660","5","120*160","P10294","TC"
"P06177","P06177","860","5","160*180","P06177","TC"
"P04060","P04060","1360","5","185*215","P04060","TC"
"P04108","P04108","660","5","140*160","P04108","TC"
"P04004","P04004","860","5","150*180","P04004","TC"
"P03775","P03775","760","5","135*170","P03775","SC"
"P07030","P07030","680","5","102*120","P07030","TBCJ5"
"P03894","P03894","1160","5","110*200","P03894","TC"
"P03438","P03438","580","5","107*140","P03438","TC"
"P07037","P07037","740","5","139*158","P07037","TB"
"P04061","P04061","1000","5","135*175","P04061","TB"
"P06857","P06857","580","5","120*145","P06857","TC"
"P06157","P06157","580","10","115*150","P06157","TC"
"P06222","P06222","580","5","125*150","P06222","TC"
"P03439","P03439","660","5","136*158","P03439","TC"
"P11132","P11132","100","10","028.6*038.3","P11132","SC"
"P11897","P11897","80","10","009*029","P11897","TG"
"P12027","P12027","80","10","014*030","P12027","TG"
"P12186","P12186","120","4","032*048","P12186","TC"
"P11658","P11658","140","10","028.5*044.5","P11658","SM"
"P12048","P12048","80","10","014*035","P12048","TC"
"P11593","P11593","660","10","045*065","P11593","TC"
"P11410","P11410","160","10","011.7*025","P11410","TC4R"
"P11693","P11693","160","10","019.05*039","P11693","TC4P"
"P11405","P11405","160","10","025.4*034.5","P11405","TC4P"
"P12028","P12028","80","10","014*030","P12028","TG"
"P11653","P11653","120","0","029*047","P11653","TC1"
"P11355","P11355","100","10","009.5*019","P11355","SC"
"P11038","P11038","80","10","010*025","P11038","SC"
"P11842","P11842","80","9","005*016","P11842","TG"
"P11001","P11001","100","6","022*040","P11001","TC1"
"P11812","P11812","160","10","034.5*044.7","P11812","UIR"
"P11694","P11694","160","10","025*035.4","P11694","TC4P"
"P11174","P11174","100","10","019*027","P11174","SC"
"P11846","P11846","80","9","005*018","P11846","TG"
"P11843","P11843","80","10","005*016","P11843","TG"
"P11830","P11830","120","10","015*032","P11830","TCN1"
"P11640","P11640","120","10","018.5*35","P11640","TC4P"
"P11917","P11917","80","10","010*025","P11917","TG"
