"Product Name","Price","size","tip"
"M-01424","160","35.8*38.1*2","TEFLON RING"
"M-01494","240","51.2*54.7*2.5","TEFLON RING"
"M-01437","240","47.5*51*2.3","TEFLON RING"
"M-01433","240","45.8*48.4*2","TEFLON RING"
"M-01486","240","45.8*48.3*2","TEFLON RING"
"M-01442","240","45.6*48.2*2","TEFLON RING"
"M-01436","240","42.6*45.2*2.05","TEFLON RING"
"M-01410","240","42.5*45.1*2","TEFLON RING"
"M-01423","240","41.4*44.7*2.2","TEFLON RING"
"M-01464","160","35.6*38.4*2.05","TEFLON RING"
"M-01370","160","35.7*38.4*2","TEFLON RING"
"M-01430","160","36*38.4*1.95","TEFLON RING"
"M-01507","160","35.6*38.4*1.95","TEFLON RING"
"M-01482","160","35.7*38.3*2.3","TEFLON RING"
"M-01541","220","35.4*40.1*2.5","TEFLON RING"
"M-01314","160","35*39*2","TEFLON RING"
"M-01720","160","35*38.8*2","TEFLON RING"
"M-01451","160","35*37.6*2","TEFLON RING"
"M-01506","160","34.9*38.1*1.9","TEFLON RING"
"M-01304","160","34.3*38.3*2","TEFLON RING"
"M-01530","160","33.7*38.3*2.45","TEFLON RING"
"M-01394","160","34.3*37.3*1.95","TEFLON RING"
"M-01721","160","34*37*2","TEFLON RING"
"M-01576","160","33.8*36.8*1.95","TEFLON RING"
"M-01627","160","33.5*36.5*1.85","TEFLON RING"
"M-01650","160","33.4*36.2*1.9","TEFLON RING"
"M-01376","160","33.1*36.1*1.9","TEFLON RING"
"M-01421","160","33.1*36.1*1.85","TEFLON RING"
"M-01723","160","33*36*1.85","TEFLON RING"
"M-01634","160","32.8*35.8*1.9","TEFLON RING"
"F-00534XA","340","24.5*41.2*7.5","7V1"
"F-01193","340","32*49*12.5","7V1"
"F-00041","160","28*36.6*9","0M"
"F-00691","340","28*37.6*5.5/8","6V2"
"F-00100X","160","19.5*40*6","1PM"
"F-00186X","160","19.5*40*6","1PM"
"F-00067","160","19*35*3.5","3A"
"F-00370","160","19*35*3.5","3A"
"F-00557X","160","18*43*3.5","3A"
"F-00282","340","25*45*8","7V1"
"F-00237XX","340","23*36*8","7V1"
"F-00516","160","20.5*34*7/7.5","1PM"
"F-00730","160","24.5*31*4.5","0M"
"F-00392","160","24.5*31*4.5","0M"
"F-00655","340","36*48.1*6.7","7V2"
"F-00548","160","28*40*5.5/8","1PM"
"F-00845","340","25*43*10/12.5","7V3"
"F-01096X","340","23.5*45*12.5","7V1"
"F-00544B","340","26*44.2*10/12.6","7V3"
"F-01058","160","32*41*5","12"
"F-00557","160","18.5*43*4.5","3A"
"F-00215","160","15*41.5*3.3","3A"
"F-00864","160","17*43*3.5/5","3A"
"F-00566","160","17*43*3.5/5","3A"
"F-00772","160","17*40*4.6/6.5","3A"
"F-00127","160","22*34*7/8","1PM"
"F-00419","160","17*40*4.6/6.5","3A"
"F-00340","120","16*40*2.5/3.2","8PM"
"F-00131","160","25.6*33.4*5.5/8.5","13PM"
"F-00843","340","28*44.6*7.5","7V2"
"F-01316","240","57*70*5/6","1PM"
"F-00977","700","57*74.7*9/9.5","7V1PM"
"F-00937","160","27.5*38*5/5.5","0M"
"P06096","340","75*105*10","TC"
"F-01351","340","25.5*39.8*8.4","7V1"
"F-00250","340","25.5*39.8*8.4","7V1"
"F-01250","340","26*38*11/23","7V1"
"F-01167B","340","20*35.8*6.5","7V1"
"F-01415","340","24*40*7","7V1"
"F-00415","160","15*24*4.3/7","1PA"
"P04058","1000","150*190","TC"
"P10294","660","120*160","TC"
"P06177","860","160*180","TC"
"P04060","1360","185*215","TC"
"P04108","660","140*160","TC"
"P04004","860","150*180","TC"
"P03775","760","135*170","SC"
"P07030","680","102*120","TBCJ5"
"P03894","1160","110*200","TC"
"P03438","580","107*140","TC"
"P07037","740","139*158","TB"
"P04061","1000","135*175","TB"
"P06857","580","120*145","TC"
"P06157","580","115*150","TC"
"P06222","580","125*150","TC"
"P03439","660","136*158","TC"
"P11132","100","028.6*038.3","SC"
"P11897","80","009*029","TG"
"P12027","80","014*030","TG"
"P12186","120","032*048","TC"
"P11658","140","028.5*044.5","SM"
"P12048","80","014*035","TC"
"P11593","660","045*065","TC"
