"Product Name","Type","Quantity","size","tcs"
"RK8070","Simple Product","","",""
"RK8069","Simple Product","13","Cadillac Escalade III","RK8069"
"RK8068","Simple Product","34","ALFA ROMEO 156 (932)",""
"H-07582","Simple Product","29","12*28*8","6001"
"F-00303A","Simple Product","95","26*36*5/5.5","P12482"
"F-00311A","Simple Product","194","25.4*34.5*5/5.5","P11405"
"M-01424","Simple Product","87","35.8*38.1*2","P13104"
"M-01494","Simple Product","450","51.2*54.7*2.5","P13109"
"M-01437","Simple Product","478","47.5*51*2.3","P13108"
"M-01433","Simple Product","143","45.8*48.4*2","P13107"
"M-01486","Simple Product","123","45.8*48.3*2","P13107"
"M-01442","Simple Product","144","45.6*48.2*2","P13107"
"M-01436","Simple Product","221","42.6*45.2*2.05","P13106"
"M-01410","Simple Product","234","42.5*45.1*2","P13106"
"M-01423","Simple Product","473","41.4*44.7*2.2","P13105"
"M-01464","Simple Product","75","35.6*38.4*2.05","P13104"
"M-01370","Simple Product","71","35.7*38.4*2","P13104"
"M-01430","Simple Product","89","36*38.4*1.95","P13104"
"M-01507","Simple Product","77","35.6*38.4*1.95","P13104"
"M-01482","Simple Product","472","35.7*38.3*2.3","P13103"
"M-01541","Simple Product","474","35.4*40.1*2.5","P13102"
"M-01314","Simple Product","224","35*39*2","P13101"
"M-01720","Simple Product","229","35*38.8*2","P13101"
"M-01451","Simple Product","464","35*37.6*2","P13100"
"M-01506","Simple Product","467","34.9*38.1*1.9","P13099"
"M-01304","Simple Product","458","34.3*38.3*2","P13098"
"M-01530","Simple Product","478","33.7*38.3*2.45","P13097"
"M-01394","Simple Product","274","34.3*37.3*1.95","P13096"
"M-01721","Simple Product","133","34*37*2","P13096"
"M-01576","Simple Product","126","33.8*36.8*1.95","P13096"
"M-01627","Simple Product","66","33.5*36.5*1.85","P13095"
"M-01650","Simple Product","54","33.4*36.2*1.9","P13095"
"M-01376","Simple Product","49","33.1*36.1*1.9","P13095"
"M-01421","Simple Product","59","33.1*36.1*1.85","P13095"
"M-01723","Simple Product","65","33*36*1.85","P13095"
"M-01634","Simple Product","70","32.8*35.8*1.9","P13095"
"F-00534XA","Simple Product","96","24.5*41.2*7.5","P05582"
"F-01193","Simple Product","496","32*49*12.5","P12864"
"F-00041","Simple Product","289","28*36.6*9","P12522"
"F-00691","Simple Product","295","28*37.6*5.5/8","P12619"
"F-00100X","Simple Product","244","19.5*40*6","P12868"
"F-00186X","Simple Product","245","19.5*40*6","P12868"
"F-00067","Simple Product","147","19*35*3.5","P12520"
"F-00370","Simple Product","146","19*35*3.5","P12520"
"F-00557X","Simple Product","288","18*43*3.5","P12613"
"F-00282","Simple Product","479","25*45*8","P12872"
"F-00237XX","Simple Product","483","23*36*8","P12870"
"F-00516","Simple Product","289","20.5*34*7/7.5","P12523"
"F-00730","Simple Product","150","24.5*31*4.5","P12515"
"F-00392","Simple Product","145","24.5*31*4.5","P12515"
"F-00655","Simple Product","297","36*48.1*6.7","P12509"
"F-00548","Simple Product","292","28*40*5.5/8","P12483"
"F-00845","Simple Product","294","25*43*10/12.5","P12491"
"F-01096X","Simple Product","293","23.5*45*12.5","P12174"
"F-00544B","Simple Product","297","26*44.2*10/12.6","P12463"
"F-01058","Simple Product","281","32*41*5","P12479"
"F-00557","Simple Product","280","18.5*43*4.5","P12518"
"F-00215","Simple Product","295","15*41.5*3.3","P12517"
"F-00864","Simple Product","146","17*43*3.5/5","P12478"
"F-00566","Simple Product","146","17*43*3.5/5","P12478"
"F-00772","Simple Product","249","17*40*4.6/6.5","P13085"
"F-00127","Simple Product","281","22*34*7/8","P09298"
"F-00419","Simple Product","242","17*40*4.6/6.5","P13085"
"F-00340","Simple Product","291","16*40*2.5/3.2","P02973"
"F-00131","Simple Product","295","25.6*33.4*5.5/8.5","P12512"
"F-00843","Simple Product","290","28*44.6*7.5","P12505"
"F-01316","Simple Product","494","57*70*5/6","P13090"
"F-00977","Simple Product","495","57*74.7*9/9.5","P13091"
"F-00937","Simple Product","494","27.5*38*5/5.5","P12869"
"P06096","Simple Product","5","75*105*10","P06096"
"F-01351","Simple Product","148","25.5*39.8*8.4","P12510"
"F-00250","Simple Product","147","25.5*39.8*8.4","P12510"
"F-01250","Simple Product","492","26*38*11/23","P13083"
