"tcs","Quantity","size","tip","Product","SKU","Product","Name","Price",,,
2,1,"26*50*18.3","ПОРШЕНЬ","K-00002","K-00002",700,,,,,
3,5,"26*45*16.3","ПОРШЕНЬ","K-00003","K-00003",700,,,,,
4,5,"30*48*16","ПОРШЕНЬ","K-00004","K-00004",700,,,,,
6,5,"30*54*18.6","ПОРШЕНЬ","K-00006","K-00006",700,,,,,
406,0,"130*180","TG",3983,3983,960,,,,,
608,6,"8*22*7","ПОДШИПНИК","H-07576","H-07576",120,,,,,
1060,18,"031*049","TC",3145,3145,160,,,,,
1119,3,"027*042","TC",3189,3189,160,,,,,
1142,2,"018*032","DCY",3356,3356,140,,,,,
1151,1,"055*072","TC",3418,3418,220,,,,,
1171,18,"044*065","TC",3129,3129,180,,,,,
1290,2,"050*068","TCR",3061,3061,220,,,,,
1296,3,"038*055","TC",3465,3465,180,,,,,
1428,3,"025*041","TC",3157,3157,160,,,,,
1507,3,"052*075","SC",3422,3422,220,,,,,
1544,3,"026*042","TC",3201,3201,160,,,,,
1768,3,"014*025","TC",3341,3341,120,,,,,
1833,3,"012*024","TC",3313,3313,120,,,,,
1874,1,"012*032","TC",3309,3309,140,,,,,
1886,2,"016*035","SC",3294,3294,140,,,,,
1960,2,"070*092","TCL",3403,3403,260,,,,,
2006,3,"030*072","TC",3252,3252,220,,,,,
2051,3,"024*040","TC",3194,3194,140,,,,,
2140,3,"030*042","TCR",3214,3214,160,,,,,
2210,6,"050*062","TC",3067,3067,200,,,,,
2251,1,"012*026","TC",3312,3312,120,,,,,
2264,5,"016*028","TC",3288,3288,120,,,,,
2284,3,"024*047","SC",3149,3149,160,,,,,
2304,3,"020*028","SC",3324,3324,120,,,,,
2305,3,"028*050","TC",3238,3238,160,,,,,
2308,3,"020*052","TC",3055,3055,160,,,,,
2346,0,"025*040","SC",3132,3132,120,,,,,
2402,3,"055*070","TC",3417,3417,200,,,,,
2439,8,"051*070","TCR",3529,3529,200,,,,,
2497,2,"015*026","TC",3331,3331,120,,,,,
2507,3,"015*032","SC",3334,3334,140,,,,,
2519,3,"015*035","TC",3333,3333,140,,,,,
2567,30,"017*028","TCR",3558,3558,120,,,,,
2585,3,"036*050","TB-H",3480,3480,160,,,,,
2593,3,"017*040","TC",3347,3347,140,,,,,
2618,1,"050*072","TC",3059,3059,160,,,,,
2640,3,"030*045","SC",3181,3181,160,,,,,
2666,3,"030*055","SC",3257,3257,180,,,,,
2821,3,"055*068","TC",3416,3416,200,,,,,
2850,1,"050*068","TA",3062,3062,200,,,,,
2894,3,"045*072","TC",3109,3109,180,,,,,
2918,1,"070*095","SC",3402,3402,260,,,,,
2927,3,"045*065","TC",3036,3036,200,,,,,
2962,3,"042*062","SC",3277,3277,200,,,,,
2982,1,"075*095","TC",3400,3400,260,,,,,
3072,1,"065*100","SC",3408,3408,260,,,,,
3080,0,"048*072","TC",3531,3531,220,,,,,
3092,3,"038*060","TC",3103,3103,200,,,,,
3121,2,"015*040","TC",3332,3332,140,,,,,
3166,3,"028*047","TC",3239,3239,160,,,,,
3293,3,"042*075","TC",3515,3515,220,,,,,
3306,3,"015*030","SC",3326,3326,120,,,,,
3314,2,"022*040","SC",3051,3051,140,,,,,
3336,1,"085*110","SC",3381,3381,340,,,,,
3354,1,"*","SB",3393,3393,340,,,,,
3367,7,"025*037","TC",3156,3156,140,,,,,
3385,11,"034*072","SC",3083,3083,180,,,,,
3406,3,"038*052","KM",3519,3519,60,,,,,
3419,18,"039*058","TCR",3460,3460,180,,,,,
3433,1,"036*052","SB",3525,3525,180,,,,,
3436,3,"038*074","TB",3455,3455,220,,,,,
3486,2,"040*065","SC",3436,3436,200,,,,,
3498,3,"040*080","TC",3122,3122,280,,,,,
3499,3,"038*062","TC",3098,3098,160,,,,,
3509,3,"035*052","TC",3491,3491,180,,,,,
3515,3,"035*062","SC",3094,3094,160,,,,,
3517,3,"032*052","TC",3231,3231,180,,,,,
3524,1,"035*056","TC",3471,3471,180,,,,,
3527,3,"032*052","SC",3235,3235,180,,,,,
3559,3,"035*047","SC",3500,3500,160,,,,,
3573,14,"032*042","TC",3245,3245,160,,,,,
3581,1,"030*050","TC",3253,3253,160,,,,,
3588,3,"030*062","SC",3258,3258,200,,,,,
3591,1,"055*090","TC",3388,3388,240,,,,,
3805,1,"100*130","TC",3372,3372,340,,,,,
3808,17,"019*030","TCL",3293,3293,120,,,,,
3821,1,"012*028","TC",3311,3311,120,,,,,
3860,18,"040*058","TC",3504,3504,180,,,,,
3860,1,"040*058","TC",3501,3501,180,,,,,
3867,1,"075*100","SC",3399,3399,260,,,,,
3900,17,"030*044","TCR",3212,3212,160,,,,,
3913,17,"017*027","SC",3538,3538,120,,,,,
3962,3,"040*062","TC",3433,3433,200,,,,,
3966,17,"016*026","TC",3297,3297,120,,,,,
3980,1,"076*093","TCL",3398,3398,260,,,,,
3990,6,"040*075","TC9R",3118,3118,300,,,,,
3999,2,"025*047","SC",3188,3188,160,,,,,
4060,1,"060*080","SC",3409,3409,220,,,,,
4199,3,"025*045","SC",3183,3183,160,,,,,
4202,1,"070*100","TC",3401,3401,260,,,,,
4486,2,"013*026","TC",3338,3338,120,,,,,
4709,3,"027*040","TC",3187,3187,140,,,,,
4748,2,"018*040","TC",3296,3296,140,,,,,
4853,4,"025*035","TCR",3153,3153,140,,,,,
5121,3,"031*048","TCY",3262,3262,160,,,,,
5166,7,"014*026","TC",3340,3340,120,,,,,
5313,3,"014*024","SC",3336,3336,120,,,,,
5349,3,"042*072","TBR",3516,3516,220,,,,,
5350,3,"042*076","TXC9",3514,3514,220,,,,,
5489,3,"045*65/70","SCJR",3034,3034,280,,,,,
5757,3,"013*028","TC",3339,3339,120,,,,,
5904,1,"014*018","VG1",3335,3335,120,,,,,
5926,5,"015*024","TC",3344,3344,120,,,,,
5946,16,"016*025","SC",3298,3298,120,,,,,
6000,6,"10*26*8","ПОДШИПНИК","H-07552","H-07552",160,,,,,
6002,6,"15*32*9","ПОДШИПНИК","H-07549","H-07549",160,,,,,
6003,6,"17*35*10","ПОДШИПНИК","H-07555","H-07555",160,,,,,
6014,18,"020*045","TC",3537,3537,160,,,,,
6110,11,"038*049","TB",3523,3523,160,,,,,
6149,37,"032*047","TCR",3167,3167,160,,,,,
6164,2,"017*040","TC",3349,3349,140,,,,,
6196,3,"038*044","SCY",3467,3467,160,,,,,
6200,8,"10*30*9","ПОДШИПНИК","H-07557","H-07557",160,,,,,
6201,6,"12*32*10","ПОДШИПНИК","H-07558","H-07558",160,,,,,
6202,6,"15*35*11","ПОДШИПНИК","H-07534","H-07534",120,,,,,
6203,6,"17*40*12","ПОДШИПНИК","H-07502","H-07502",160,,,,,
6301,7,"12*37*12","ПОДШИПНИК","H-05003","H-05003",200,,,,,
6302,6,"15*42*13","ПОДШИПНИК","H-05002","H-05002",200,,,,,
6479,3,"012*025","SF",3314,3314,,,,,,
6512,3,"012*020","TC",3316,3316,120,,,,,
6555,5,"052*068","TB9",3424,3424,200,,,,,
6712,1,"034*048","TCR1",3077,3077,160,,,,,
6866,3,"045*065","TBR",3035,3035,200,,,,,
7311,1,"080*100","TBL",3374,3374,260,,,,,
7314,1,"090*115","TCL",3371,3371,340,,,,,
7315,1,"100*120","TCL",3373,3373,340,,,,,
7473,1,"105*135","SC",3427,3427,340,,,,,
7571,3,"052*063","TB",3421,3421,200,,,,,
7599,3,"038*050","SCW10",3102,3102,180,,,,,
7605,2,"034*054","TC9",3080,3080,220,,,,,
7606,2,"034*063","TC9",3078,3078,180,,,,,
7607,18,"046*69","4/80","TCJY",3111,3111,360,,,,
7610,3,"038*063","TZ9",3097,3097,180,,,,,
7611,1,"084*104","TCL",3369,3369,340,,,,,
7618,3,"076*102","TXAY",3547,3547,340,,,,,
7687,3,"025*032","TC",3154,3154,140,,,,,
7755,3,"054*066","TZ9",3420,3420,200,,,,,
7822,17,"043*059","KBC9",3117,3117,280,,,,,
7869,3,"023*040","TC",3204,3204,140,,,,,
7888,3,"015*030","TC",3329,3329,120,,,,,
8065,2,"026*036","TZ4",3140,3140,200,,,,,
8239,3,"050*067","TCY",3064,3064,280,,,,,
8240,0,"030*046","TCR",3135,3135,180,,,,,
8310,9,"032*040","TC",3246,3246,160,,,,,
8400,3,"025*052","TCNY",3163,3163,180,,,,,
8466,2,"015*024","TG",3345,3345,120,,,,,
