"sku","name","tcs","razmer",,"kol","price",
531,"F-00009","P06549","25*35*6/6.5 ","1РМ",148,"60   ","MERCEDES"
1,"F-0000A","P55501","09.7*13.2*3","L-RING",399,"120   ","AUDI 100, A6"
248,"F-0000B","P55549","22.5*25.5*3","L-RING",473,"120   ","AUDI 80, WV"
518,"F-0000C","P55550","25*28*3","L-RING",465,"120   ","AUDI 80, B4"
1060,"F-0000D","P55551","32*42*3","U-RING",1938,"95   ","OPEL OMEGA B,C"
95,"F-00011","P05710","19*34.6*6.2/9.2","1РМ",700,"35   ","VW"
279,"F-00012","P05707","23*34.5*6.5","7V2",101,"95   ","WV PASSAT"
283,"F-00012M","P07238","23*34.5*8","7V1",108,"95   ","WV PASSAT"
511,"F-00014","P01743","24.97*37.54*7","7V2",165,"95   ","FIAT, FORD"
512,"F-00014M","P06800","24.97*37.54*7","7V1",340,"95   ","FIAT, FORD"
476,"F-00014X","P04917","24.5*37.54*7.5 ","7V1",81,"120   ","Ремонтный размер"
508,"F-00014X1","P09064","24.7*37.7*6.5 ","7V1",100,"120   ","Ремонтный размер"
404,"F-00014XX","P08841","24*37.6*6.5","7V1",13,"120   ","Ремонтный размер"
515,"F-00015","P08434","24.97*37.54/41.24*4.2/7.4","6V2",205,"95   ","FIAT, FORD"
479,"F-00015X","P08433","24.5*37.54/41.24*4.2/7.4 ","6V2",28,"120   ","Ремонтный размер"
408,"F-00015XX","P55514","24*37.7/41.3*4.2/7.4","6V2",42,"120   ","Ремонтный размер"
277,"F-00016","P02992","23*34.3/40.2*3.2/7.5","6V2",270,"95   ","FIAT, SEAT"
255,"F-00016X","P55510","22.5*34.3/40*3.2/7.5","6V2",27,"120   ","Ремонтный размер"
975,"F-00017","P10034","30*42.5*7","7V1",310,"95   ","IVECO DAILY"
942,"F-00017X","P08895","29.5*42.5*8","7V1",65,"120   ","Ремонтный размер"
925,"F-00017XX","P08891","29*42.5*8","7V1",29,"120   ","Ремонтный размер"
273,"F-00018","P01827","23*34.3/38*3.2/7.4","6V2",160,"95   ","WV PASSAT"
251,"F-00018X","P08372","22.5*34.3/38*4.3/8","6V1",0,"120   ","Ремонтный размер"
214,"F-00018XX","P55508","22*34.3/38*4.3/8","6V2",51,"120   ","Ремонтный размер"
266,"F-00019","P01831","23*29.8*4.5","0M",240,"60   ","FORD"
