"sku","name","nal","tcs","price"
531,"F-00009",148,"P06549","60   "
1,"F-0000A",399,"P55501","120   "
248,"F-0000B",473,"P55549","120   "
518,"F-0000C",465,"P55550","120   "
1060,"F-0000D",1938,"P55551","95   "
95,"F-00011",33,"P05710","35   "
279,"F-00012",101,"P05707","95   "
283,"F-00012M",108,"P07238","95   "
511,"F-00014",38,"P01743","95   "
512,"F-00014M",139,"P06800","95   "
476,"F-00014X",81,"P04917","120   "
508,"F-00014X1",100,"P09064","120   "
404,"F-00014XX",13,"P08841","120   "
515,"F-00015",66,"P08434","95   "
479,"F-00015X",28,"P08433","120   "
408,"F-00015XX",42,"P55514","120   "
277,"F-00016",141,"P02992","95   "
255,"F-00016X",27,"P55510","120   "
975,"F-00017",154,"P10034","95   "
942,"F-00017X",65,"P08895","120   "
925,"F-00017XX",29,"P08891","120   "
273,"F-00018",26,"P01827","95   "
251,"F-00018X",0,"P08372","120   "
214,"F-00018XX",51,"P55508","120   "
266,"F-00019",138,"P01831","60   "
978,"F-00021",85,"P08432","95   "
946,"F-00021X",4,"P08431","120   "
927,"F-00021XX",18,"P08430","120   "
875,"F-00022",109,"P08424","95   "
795,"F-00022X",220,"P10676","120   "
753,"F-00022XX",28,"P08878","120   "
548,"F-00023",78,"P08434","95   "
480,"F-00023X",27,"P08433","120   "
409,"F-00023XX",47,"P55514","120   "
280,"F-00024",96,"P05707","95   "
284,"F-00024M",113,"P07238","95   "
257,"F-00024X",81,"P08782","120   "
218,"F-00024XX",149,"P05200","120   "
657,"F-00025",156,"P03572","60   "
608,"F-00025X",208,"P08854","120   "
858,"F-00026",34,"P08093","60   "
859,"F-00026M",112,"P10024","95   "
790,"F-00026X",66,"P08882","120   "
202,"F-00027",220,"P08371","60   "
181,"F-00027X",56,"P08370","120   "
372,"F-00028",417,"P08840","60   "
317,"F-00028X",16,"P08839","120   "
271,"F-00028XX",205,"P07237","120   "
979,"F-00029",72,"P08432","95   "
947,"F-00029X",4,"P08431","120   "
928,"F-00029XX",16,"P08430","120   "
92,"F-00030",242,"P01754","60   "
560,"F-00031",77,"P10673","60   "
305,"F-00032",46,"P01831","60   "
976,"F-00033",117,"P10034","95   "
943,"F-00033X",59,"P08895","120   "
926,"F-00033XX",31,"P08891","120   "
278,"F-00034",114,"P02992","95   "
256,"F-00034X",24,"P55510","120   "
274,"F-00035",30,"P01827","95   "
252,"F-00035X",11,"P08372","120   "
215,"F-00035XX",55,"P55508","120   "
306,"F-00036",156,"P01831","60   "
96,"F-00037",3,"P05710","35   "
513,"F-00038",152,"P07070","95   "
514,"F-00038M",142,"P06800","95   "
477,"F-00038X",72,"P04917","120   "
509,"F-00038X1",75,"P09064","120   "
405,"F-00038XX",3,"P08841","120   "
93,"F-00039",12,"P05389","35   "
94,"F-00040",6,"P05389","35   "
899,"F-00045",316,"P08488","95   "
990,"F-00046",443,"P11005","60   "
661,"F-00047",0,"P03541","60   "
396,"F-00048",229,"P03542","60   "
44,"F-00051",34,"P06162","35   "
