Product SKU,Product Name,Price,Quantity
3000,3000,360,13
3001,3001,400,15
3002,3002,200,48
3003,3003,200,19
3004,3004,400,19
3005,3005,400,19
3006,3006,400,19
3007,3007,120,96
3008,3008,120,98
3009,3009,400,48
3010,3010,120,47
3011,3011,400,7
3012,3012,600,1
3013,3013,340,1
3014,3014,780,1
3015,3015,200,0
3016,3016,260,0
3017,3017,200,3
3018,3018,260,17
3019,3019,180,1
3020,3020,180,3
3021,3021,160,3
3022,3022,140,3
3023,3023,120,17
3024,3024,120,3
3025,3025,160,18
3026,3026,300,16
3027,3027,400,8
3028,3028,160,17
3029,3029,160,3
3030,3030,240,3
3031,3031,580,9
3032,3032,200,2
3033,3033,240,1
3034,3034,280,3
3035,3035,200,1
3036,3036,200,2
3037,3037,200,16
3038,3038,200,17
3039,3039,200,3
3040,3040,200,1
3041,3041,260,17
3042,3042,140,0
3043,3043,140,1
3044,3044,160,7
3045,3045,140,0
3046,3046,140,3
3047,3047,140,4
3048,3048,160,1
3049,3049,160,2
3050,3050,160,7
3051,3051,140,2
3052,3052,140,4
3053,3053,160,3
3054,3054,140,5
3055,3055,160,3
3056,3056,140,6
3057,3057,140,17
3058,3058,160,18
3059,3059,160,1
3060,3060,220,3
3061,3061,220,2
3062,3062,200,1
3063,3063,460,1
3064,3064,280,3
3065,3065,280,3
3066,3066,200,3
3067,3067,200,6
3068,3068,580,13
3069,3069,280,3
3070,3070,260,18
3071,3071,320,3
3072,3072,300,19
3073,3073,320,18
3074,3074,180,17
3075,3075,160,3
3076,3076,160,3
3077,3077,160,1
3078,3078,180,2
3079,3079,280,3
3080,3080,220,2
3081,3081,220,3
3082,3082,200,3
3083,3083,180,11
3084,3084,240,3
3085,3085,180,3
3086,3086,240,3
3087,3087,180,4
3088,3088,160,3
3089,3089,180,3
3090,3090,220,3
3091,3091,240,2
3092,3092,200,2
3093,3093,200,2
3094,3094,160,3
3095,3095,260,3
3096,3096,220,3
3097,3097,180,2
3098,3098,160,2
3099,3099,180,2
3100,3100,200,2
3101,3101,180,5
3102,3102,180,3
3103,3103,200,3
3104,3104,180,18
3105,3105,220,2
3106,3106,180,3
3107,3107,200,18
3108,3108,340,2
3109,3109,180,2
3110,3110,340,3
3111,3111,360,18
3112,3112,240,3
3113,3113,240,3
3114,3114,260,18
3115,3115,280,17
3116,3116,180,17
3117,3117,280,17
3118,3118,300,6
3119,3119,260,2
3120,3120,280,3
3121,3121,260,18
3122,3122,280,3
3123,3123,260,2
3124,3124,240,0
3125,3125,220,2
3126,3126,260,3
3127,3127,280,2
3128,3128,280,17
3129,3129,180,17
3130,3130,200,2
3131,3131,140,2
3132,3132,120,0
3133,3133,140,27
3134,3134,160,2
3135,3135,180,0
3136,3136,200,1
3137,3137,240,3
3138,3138,180,21
3139,3139,200,3
3140,3140,200,2
3141,3141,220,3
3142,3142,180,3
3143,3143,180,3
3144,3144,180,3
3145,3145,160,18
3146,3146,160,17
3147,3147,200,3
3148,3148,160,3
3149,3149,160,3
3150,3150,180,0
3151,3151,180,3
3152,3152,140,4
3153,3153,140,4
3154,3154,140,0
3155,3155,140,1
3156,3156,140,7
3157,3157,160,3
3158,3158,160,9
3159,3159,160,1
3160,3160,140,3
3161,3161,140,3
3162,3162,160,3
3163,3163,180,3
3164,3164,160,3
3165,3165,180,3
3166,3166,160,3
3167,3167,160,37
3168,3168,140,3
3169,3169,140,3
3170,3170,180,5
3171,3171,180,3
3172,3172,160,3
3173,3173,200,18
3174,3174,140,2
3175,3175,160,2
3176,3176,160,5
3177,3177,160,10
3178,3178,160,3
3179,3179,160,0
3180,3180,200,29
3181,3181,160,3
3182,3182,160,0
3183,3183,160,3
3184,3184,160,1
3185,3185,140,8
3186,3186,140,3
3187,3187,140,3
3188,3188,160,2
3189,3189,160,3
3190,3190,160,2
3191,3191,160,3
3192,3192,160,18
3193,3193,140,1
3194,3194,140,1
3195,3195,140,2
3196,3196,140,2
3197,3197,160,0
3198,3198,160,1
3199,3199,140,3
3200,3200,140,3
3201,3201,160,3
3202,3202,160,3
3203,3203,140,3
3204,3204,140,3
3205,3205,160,14
3206,3206,160,3
3207,3207,140,1
3208,3208,140,3
3209,3209,160,7
3210,3210,160,3
3211,3211,140,3
3212,3212,160,17
3213,3213,160,3
3214,3214,160,3
3215,3215,160,0
3216,3216,160,3
3217,3217,160,21
3218,3218,160,18
3219,3219,160,3
3220,3220,160,17
3221,3221,160,7
3222,3222,160,7
3223,3223,160,3
3224,3224,160,1
3225,3225,140,3
3226,3226,180,10
3227,3227,160,3
3228,3228,160,17
3229,3229,180,2
3230,3230,180,3
3231,3231,180,0
3232,3232,160,32
3233,3233,160,3
3234,3234,180,3
3235,3235,180,3
3236,3236,200,3
3237,3237,180,3
3238,3238,160,3
3239,3239,160,3
3240,3240,160,3
3241,3241,180,1
3242,3242,160,18
3243,3243,160,9
3244,3244,160,3
3245,3245,160,14
3246,3246,160,4
3247,3247,160,3
3248,3248,160,3
3249,3249,160,3
3250,3250,160,3
3251,3251,160,3
3252,3252,220,3
3253,3253,160,0
3254,3254,160,3
3255,3255,160,17
3256,3256,200,4
3257,3257,180,3
3258,3258,200,1
3259,3259,160,17
3260,3260,160,18
3261,3261,180,2
3262,3262,160,3
3263,3263,160,3
3264,3264,160,3
3265,3265,180,18
3266,3266,120,1
3267,3267,160,1
3268,3268,120,0
3269,3269,140,18
3270,3270,120,1
3271,3271,340,1
3272,3272,200,3
3273,3273,120,16
3274,3274,200,3
3275,3275,200,3
3276,3276,200,3
3277,3277,200,3
3278,3278,200,17
3279,3279,200,3
3280,3280,180,18
3281,3281,180,16
3282,3282,160,17
3283,3283,160,1
3284,3284,120,15
3285,3285,140,17
3286,3286,120,0
3287,3287,120,25
3288,3288,120,0
3289,3289,140,17
3290,3290,140,0
3291,3291,140,0
3292,3292,140,15
3293,3293,120,17
3294,3294,140,2
3295,3295,140,15
3296,3296,140,2
3297,3297,120,6
3298,3298,120,1
3299,3299,120,7
3300,3300,120,17
3301,3301,120,17
3302,3302,160,9
3303,3303,140,1
3304,3304,120,0
3305,3305,140,2
3306,3306,140,1
3307,3307,140,18
3308,3308,140,3
3309,3309,140,1
3310,3310,140,1
3311,3311,120,0
3312,3312,120,0
3313,3313,120,3
3314,3314,60,3
3315,3315,120,16
3316,3316,120,0
3317,3317,120,0
3318,3318,120,0
3319,3319,120,0
3320,3320,120,0
3321,3321,120,0
3322,3322,120,0
3323,3323,160,18
3324,3324,120,3
3325,3325,120,17
3326,3326,120,3
3328,3328,120,10
3329,3329,120,3
3330,3330,120,0
3331,3331,120,2
3332,3332,140,0
3333,3333,140,0
3334,3334,140,3
3335,3335,120,1
3336,3336,120,0
3337,3337,140,14
3338,3338,120,0
3339,3339,120,3
3340,3340,120,7
3341,3341,120,3
3342,3342,120,15
3343,3343,120,15
3344,3344,120,5
3345,3345,120,0
3346,3346,120,14
3347,3347,140,3
3348,3348,120,1
3349,3349,140,2
3350,3350,140,16
3351,3351,120,20
3352,3352,140,32
3353,3353,140,1
3354,3354,140,0
3355,3355,120,28
3356,3356,140,2
3357,3357,140,18
3358,3358,140,3
3359,3359,120,1
3360,3360,120,0
3361,3361,340,1
3362,3362,340,1
3363,3363,340,1
3364,3364,220,1
3365,3365,340,1
3366,3366,340,1
3367,3367,340,1
3368,3368,340,1
3369,3369,340,1
3370,3370,260,1
3371,3371,340,1
3372,3372,340,1
3373,3373,340,1
3374,3374,260,1
3375,3375,260,1
3376,3376,340,1
3377,3377,340,1
3378,3378,340,1
3379,3379,260,1
3380,3380,340,1
3381,3381,340,1
3382,3382,260,1
3383,3383,220,1
3384,3384,220,1
3385,3385,220,3
3386,3386,240,2
3387,3387,220,6
3388,3388,240,1
3389,3389,240,1
3390,3390,220,1
3391,3391,220,1
3392,3392,260,0
3393,3393,340,1
3394,3394,240,1
3395,3395,340,1
3396,3396,240,1
3397,3397,260,1
3398,3398,260,1
3399,3399,260,1
3400,3400,260,1
3401,3401,260,1
3402,3402,260,1
3403,3403,260,2
3404,3404,240,1
3405,3405,220,1
3406,3406,220,1
3407,3407,220,1
3408,3408,260,1
3409,3409,220,1
3410,3410,240,1
3411,3411,220,0
3412,3412,220,1
3413,3413,240,1
3414,3414,200,1
3415,3415,220,1
3416,3416,200,3
3417,3417,200,3
3418,3418,220,1
3419,3419,220,3
3420,3420,200,3
3421,3421,200,3
3422,3422,220,3
3423,3423,200,3
3424,3424,200,5
3425,3425,200,1
3426,3426,200,3
3427,3427,340,1
3428,3428,340,1
3429,3429,340,3
3430,3430,180,2
3431,3431,180,2
3432,3432,200,3
3433,3433,200,2
3434,3434,200,18
3435,3435,200,21
3436,3436,200,2
3437,3437,200,3
3438,3438,160,0
3439,3439,180,2
3440,3440,200,3
3441,3441,200,1
3442,3442,140,0
3443,3443,160,1
3444,3444,140,1
3445,3445,140,1
