"Product SKU";"Product Name";"Price";"Category";"Quantity";"size"
3000;3000;360;"Сальники различного применения.";13;"035*047"
3001;3001;400;"Сальники различного применения.";15;"060*070"
3002;3002;200;"Сальники различного применения.";48;"025*035"
3003;3003;200;"Сальники различного применения.";19;"031*039"
3004;3004;400;"Сальники различного применения.";19;"048*060"
3005;3005;400;"Сальники различного применения.";19;"051*062"
3006;3006;400;"Сальники различного применения.";19;"048*059"
3007;3007;120;"Сальники различного применения.";100;"025*038"
3008;3008;120;"Сальники различного применения.";98;"*"
3009;3009;400;"Сальники различного применения.";48;"020*048"
3010;3010;120;"Сальники различного применения.";47;"030*043"
3011;3011;400;"Сальники различного применения.";7;"042*58/60"
3012;3012;600;"Сальники различного применения.";1;"044*065"
3013;3013;340;"Сальники различного применения.";1;"077*100"
3014;3014;780;"Сальники различного применения.";1;"028*57/59"
3015;3015;200;"Сальники различного применения.";0;"040*054"
3016;3016;260;"Сальники различного применения.";0;"049*065"
3017;3017;200;"Сальники различного применения.";3;"048*062"
3018;3018;260;"Сальники различного применения.";17;"045*64/74"
3019;3019;180;"Сальники различного применения.";1;"045*062"
3020;3020;180;"Сальники различного применения.";3;"045*062"
3021;3021;160;"Сальники различного применения.";3;"*"
3022;3022;140;"Сальники различного применения.";3;"*"
3023;3023;120;"Сальники различного применения.";18;"*"
3024;3024;120;"Сальники различного применения.";3;"*"
3025;3025;160;"Сальники различного применения.";18;"*"
3026;3026;300;"Сальники различного применения.";16;"*"
3027;3027;400;"Сальники различного применения.";8;"*"
3028;3028;160;"Сальники различного применения.";18;"*"
3029;3029;160;"Сальники различного применения.";3;"*"
3030;3030;240;"Сальники различного применения.";3;"045*068"
3031;3031;580;"Сальники различного применения.";9;"045*75/85"
3032;3032;200;"Сальники различного применения.";3;"045*067"
3033;3033;240;"Сальники различного применения.";2;"045*067"
3034;3034;280;"Сальники различного применения.";3;"045*65/70"
3035;3035;200;"Сальники различного применения.";3;"045*065"
3036;3036;200;"Сальники различного применения.";3;"045*065"
3037;3037;200;"Сальники различного применения.";16;"019*042"
3038;3038;200;"Сальники различного применения.";17;"020*034"
3039;3039;200;"Сальники различного применения.";3;"020*031"
3040;3040;200;"Сальники различного применения.";2;"024*035"
3041;3041;260;"Сальники различного применения.";17;"022*040"
3042;3042;140;"Сальники различного применения.";0;"022*034"
