Product SKU	tcs	Quantity	size	tip	Product Name	Price	Primmenenie	Naznachenie	Proizvoditel
1	P55501	351	09.7*13.2*3	L-RING	F-0000A	200	AUDI 100, A6	Сальник рулевой рейки	TCS
2	P11616	236	10*20*7.5	0M	F-00074	100	OPEL	Сальник рулевой рейки	TCS
3	P11616	250	10*20*7.5	0M	F-00355	100	DAEWOO	Сальник рулевой рейки	TCS
4	P55503	451	11.7*22*6/8.5	1РМ2	F-00608	100	CHRYSLER	Сальник насоса гидроусилителя	TCS
5	P08350	234	12*27*9/10	7V1PM	F-00102	200	CHEVROLET	Сальник рулевой рейки	TCS
6	P08350	239	12*27*9/10	7V1PM	F-00178	200	OPEL	Сальник рулевой рейки	TCS
7	P08349	578	12*38*10	7V2	F-00726	200	CHRYSLER, DODGE	Сальник рулевой рейки	TCS
8	P08351	561	14*27*9/10	7V1PM	F-00372	200	OPEL	Сальник рулевой рейки	TCS
9	P08352	520	14*30.5/38.4*5/11	6V3	F-00523	200	CHRYSLER	Сальник рулевой рейки	TCS
10	P01997	43	15*28*6.3	1РМA	F-00432	100	OPEL	Сальник насоса гидроусилителя	TCS
11	P01997	82	15*28*6.3	1РМA	F-00597	100	SUBARU	Сальник насоса гидроусилителя	TCS
12	P01997	75	15*28*6.3	1РМA	F-00744	100	DAEWOO	Сальник насоса гидроусилителя	TCS
13	P09101	100	16*26*5/6 	1РМ	F-00365	70	AUDI, BMW	Сальник насоса гидроусилителя	TCS
14	P05498	175	16*28*7	1РМ	F-00052	70	AUDI 	Сальник насоса гидроусилителя	TCS
15	P05954	42	16*30*6.3	1РМA	F-00149	100	FORD MONDEO	Сальник насоса гидроусилителя	TCS
16	P05954	38	16*30*6.3	1РМA	F-00555	100	FORD TEMPO	Сальник насоса гидроусилителя	TCS
17	P05954	53	16*30*6.3	1РМA	F-00689	100	FIAT	Сальник насоса гидроусилителя	TCS
18	P05954	48	16*30*6.3	1РМA	F-00894	100	FORD TRANSIT	Сальник насоса гидроусилителя	TCS
19	P05954	45	16*30*6.3	1РМA	F-01106	100	FORD FOCUS	Сальник насоса гидроусилителя	TCS
20	P01992	310	16.9*27*5/6 	1РМ	F-00976	70	MERCEDES	Сальник насоса гидроусилителя	TCS
21	P02277	87	17*28*8	0M2	F-00148	100	VOLVO	Сальник насоса гидроусилителя	TCS
22	P02277	89	17*28*8	0M2	F-00506	100	FIAT DUKATO	Сальник насоса гидроусилителя	TCS
23	P11036	343	17*29*8	1РМA	F-00586	100	TOYOTA	Сальник насоса гидроусилителя	TCS
24	P10622	345	17*29.9*7	1РМ	F-00556	100	AUDI, WV	Сальник насоса гидроусилителя	TCS
25	P04026	94	17*30*7	0M2	F-00356	100	FIAT	Сальник насоса гидроусилителя	TCS
26	P01735	165	17*30*7	1РМ	F-00414	70	MAZDA	Сальник насоса гидроусилителя	TCS
27	P01735	165	17*30*7	1РМ	F-00473	70	KIA	Сальник насоса гидроусилителя	TCS
28	P00706	243	17*32*7	1РМ	F-00154	70	NISSAN	Сальник насоса гидроусилителя	TCS
29	P05349	259	17*32*8.5	0AM2	F-00465	100	TOYOTA	Сальник насоса гидроусилителя	TCS
30	P06079	221	17*34*8	1РМA	F-00165	100	TOYOTA, LEXUS	Сальник насоса гидроусилителя	TCS
31	P02000	98	17*36*6.6	0MA	F-00122	200	WV	Сальник насоса гидроусилителя	TCS
32	P02000	107	17*36*6.6	0MA	F-00687	200	CHEVROLET	Сальник насоса гидроусилителя	TCS
33	P07851	10	17.5*30*5/5.7 	1РМ	F-00781X	100	Ремонтный размер	Сальник рулевой рейки	TCS
34	P02664	150	18*25.5*4/6.5	4РМ	F-00519	100	DAF	Сальник рулевой рейки	TCS
35	P02664	150	18*25.5*4/6.5	4РМ	F-00982	100	MAN	Сальник рулевой рейки	TCS
36	P02668	215	18*28*5/6	1РМ	F-00182	70	AUDI	Сальник рулевой рейки	TCS
37	P03640	108	18*30*6	1РМ	F-00080	70	RENAULT ESPACE	Сальник рулевой рейки	TCS
38	P03640	108	18*30*6	1РМ	F-00632	70	RENAULT SAFRANE	Сальник рулевой рейки	TCS
39	P03640	98	18*30*6	1РМ	F-00782	70	RENAULT CLIO	Сальник рулевой рейки	TCS
40	P03524	79	18*30*7	1РМ	F-00152	70	NISSAN	Сальник насоса гидроусилителя	TCS
41	P03524	78	18*30*7	1РМ	F-00771	70	FORD	Сальник рулевой рейки	TCS
42	P03524	74	18*30*7	1РМ	F-00855	70	MAZDA	Сальник рулевой рейки	TCS
43	P03524	79	18*30*7	1РМ	F-01091	70	SUBARU	Сальник насоса гидроусилителя	TCS
44	P06162	85	18*30*7/8	1РМ	F-00051	70	BMW	Сальник рулевой рейки	TCS
45	P06162	85	18*30*7/8	1РМ	F-00183	70	NISSAN	Сальник рулевой рейки	TCS
46	P06162	85	18*30*7/8	1РМ	F-00517	70	AUDI, WV	Сальник рулевой рейки	TCS
47	P06162	85	18*30*7/8	1РМ	F-00648	70	OPEL, IVECO	Сальник рулевой рейки	TCS
48	P01737	200	18*32*7	1РМ	F-00117	70	FORD	Сальник рулевой рейки	TCS
49	P01737	200	18*32*7	1РМ	F-00959	70	SUBARU	Сальник рулевой рейки	TCS
50	P02671	206	18*32*8	1РМA	F-00164	100	ISUZU	Сальник насоса гидроусилителя	TCS
51	P02671	207	18*32*8	1РМA	F-00741	100	TOYOTA	Сальник насоса гидроусилителя	TCS
52	P07358	42	18*33.3*8	1РМA	F-00421X	100	Ремонтный размер	Сальник насоса гидроусилителя	TCS
53	P07224	279	18*34*7	1РМ	F-00185	70	NISSAN	Сальник рулевой рейки	TCS
54	P02672	306	18*34*8	1РМA	F-00464	100	CHRYSLER	Сальник насоса гидроусилителя	TCS
55	P55504	168	18.5*29*4.5/5.5	1РМ	F-00484X	100	Ремонтный размер	Сальник рулевой рейки	TCS
56	P10623	20	18.5*32*6/7	1РМ	F-00114X	100	Ремонтный размер	Сальник рулевой рейки	TCS
57	P10623	30	18.5*32*6/7	1РМ	F-00366X	100	Ремонтный размер	Сальник насоса гидроусилителя	TCS
58	P10623	25	18.5*32*6/7	1РМ	F-00403X	100	Ремонтный размер	Сальник рулевой рейки	TCS
59	P10623	22	18.5*32*6/7	1РМ	F-00600X	100	Ремонтный размер	Сальник рулевой рейки	TCS
60	P10623	34	18.5*32*6/7	1РМ	F-00779X	100	Ремонтный размер	Сальник рулевой рейки	TCS
61	P10623	27	18.5*32*6/7	1РМ	F-01072X	100	Ремонтный размер	Сальник рулевой рейки	TCS
63	P05443	102	18.7*35*7/7.8	1РМ	F-00136	70	MITSUBISHI	Сальник рулевой рейки	TCS
64	P05443	117	18.7*35*7/7.8	1РМ	F-00657	70	ISUZU	Сальник рулевой рейки	TCS
65	P04197	531	18.75*30*5/5.5	1РМ	F-00189	70	NISSAN, MAZDA	Сальник рулевой рейки	TCS
66	P04197	530	18.75*30*5/5.5	1РМ	F-00395	70	SUZUKI, HONDA	Сальник рулевой рейки	TCS
67	P11214	370	18.75*30.2*5/7	1РМ	F-01140	70	SUBARU, DAIHATSU	Сальник рулевой рейки	TCS
68	P05421	105	18.9*28*5	1РМ	F-00313X	100	Ремонтный размер	Сальник рулевой рейки	TCS
69	P00014	389	18.9*30*5	1РМ	F-00993X	70	Ремонтный размер	Сальник рулевой рейки	TCS
70	P55506	233	18.9*36*6.5	1РМ	F-00163X	100	Ремонтный размер	Сальник насоса гидроусилителя	TCS
71	P07286	298	19*26.5*3.8/5.8	3A	F-00307	100	SUBARU	Сальник рулевой рейки	TCS
72	P11012	352	19*28*5/6	1РМ	F-00313	70	WV	Сальник рулевой рейки	TCS
73	P08962	1600	19*29*4.5/5	1РМ	F-00484	70	NISSAN	Сальник рулевой рейки	TCS
74	P02466	630	19*29*7/7.8	1PM	F-00459	100	TOYOTA	Сальник рулевой рейки	TCS
75	P05444	530	19*30*5/5.7	1РМ	F-00993	70	NISSAN, INFINITI	Сальник рулевой рейки	TCS
76	P02120	476	19*30*5/6.5 	1РМ	F-00110	70	RENAULT, SUZUKI 	Сальник рулевой рейки	TCS
77	P02120	420	19*30*5/6.5 	1РМ	F-00740	70	MAZDA, HONDA	Сальник рулевой рейки	TCS
78	P03954	300	19*30*6/6.5	1РМ	F-00111	70	NISSAN, INFINITI	Сальник рулевой рейки	TCS
79	P03065	150	19*30*7	1РМ	F-00315	70	VOLVO	Сальник рулевой рейки	TCS
80	P03065	150	19*30*7	1РМ	F-00769	70	FORD	Сальник рулевой рейки	TCS
81	P11004	295	19*30*7/8	1РМ	F-00619	70	LUK, MERCEDES	Сальник насоса гидроусилителя	TCS
82	P05604	430	19*32*6/7	1РМ	F-00114	70	TOYOTA, LEXUS	Сальник рулевой рейки	TCS
83	P05604	430	19*32*6/7	1РМ	F-00403	70	NISSAN, OPEL	Сальник рулевой рейки	TCS
84	P05604	430	19*32*6/7	1РМ	F-00600	70	VOLVO, RENAULT	Сальник рулевой рейки	TCS
85	P05604	430	19*32*6/7	1РМ	F-00779	70	HYUNDAI, KIA	Сальник рулевой рейки	TCS
86	P05604	430	19*32*6/7	1PM	F-01072	70	MAZDA, OPEL	Сальник рулевой рейки	TCS
87	P00708	334	19*32*7	1РМ	F-00366	70	ZF	Сальник насоса гидроусилителя	TCS
88	P02288	220	19*32*7/7.8	1РМ	F-00187	70	TOYOTA	Сальник рулевой рейки	TCS
89	P02288	220	19*32*7/7.8	1РМ	F-00418	70	OPEL, SKODA	Сальник насоса гидроусилителя	TCS
90	P02288	220	19*32*7/7.8	1PM	F-01051	70	WV	Сальник рулевой рейки	TCS
91	P02288	220	19*32*7/7.8	1PM	F-01052	70	LEXUS	Сальник рулевой рейки	TCS
92	P01754	395	19*34.6*3.8/6.1	1РМ	F-00030	100	PEUGEOT	Сальник рулевой рейки	TCS
93	P05389	175	19*34.6*4.4/5.9	1РМ	F-00039	70	VW GOLF	Сальник рулевой рейки	TCS
94	P05389	175	19*34.6*4.4/5.9	1РМ	F-00040	70	VW PASSAT	Сальник рулевой рейки	TCS
95	P05710	400	19*34.6*6.2/9.2	1РМ	F-00011	70	VW	Сальник рулевой рейки	TCS
96	P05710	400	19*34.6*6.2/9.2	1РМ	F-00037	70	FIAT	Сальник рулевой рейки	TCS
97	P03971	210	19*34.6*6.3/7.3	1РМ	F-00849	70	KIA	Сальник рулевой рейки	TCS
98	P02994	195	19*35*5/5.5	1РМ	F-01100	70	TOYOTA	Сальник рулевой рейки	TCS
99	P02994	195	19*35*5/5.5	1РМ	F-01105	70	LIFAN, CHERY	Сальник рулевой рейки	TCS
100	P03566	136	19*37*6.5/8	1РМ	F-00140	100	MITSUBISHI	Сальник рулевой рейки	TCS
101	P03566	151	19*37*6.5/8	1РМ	F-00886	100	TOYOTA, AUDI	Сальник рулевой рейки	TCS
102	P02289	430	19*38*7/7.8	1РМ	F-00184	100	TOYOTA	Сальник рулевой рейки	TCS
103	P10411	179	19*42*6.5/7.6	1РМ	F-00308	100	MAZDA RX7	Сальник рулевой рейки	TCS
104	P05444	520	19.05*30*5/5.7 	1РМ	F-00607	70	RENAULT, NISSAN 	Сальник рулевой рейки	TCS
105	P11004	289	19*30*7/8	1РМ	F-00533	70	LUK, MERCEDES	Сальник насоса гидроусилителя	TCS
106	P55555	100	19.05*33.3*7.9/9.4	1РМ	F-00144	100	AUDI, BMW, WV	Сальник насоса гидроусилителя	TCS
107	P01589	108	19.05*33.3*8	1РМA	F-00143	100	RENAULT	Сальник насоса гидроусилителя	TCS
108	P01589	108	19.05*33.3*8	1РМA	F-00145	100	BMW, WV	Сальник насоса гидроусилителя	TCS
109	P01589	108	19.05*33.3*8	1РМA	F-00421	100	FIAT, OPEL	Сальник насоса гидроусилителя	TCS
110	P01589	108	19.05*33.3*8	1РМA	F-01071	100	PEUGEOT	Сальник насоса гидроусилителя	TCS
111	P02989	240	19.05*33.3*8/9	1РМA	F-00529	100	MERCEDES	Сальник насоса гидроусилителя	TCS
112	P05389	175	19.05*34.6*4.4/5.9	1РМ	F-00087	70	PEUGEOT	Сальник рулевой рейки	TCS
113	P05389	175	19.05*34.6*4.4/5.9	1РМ	F-00677	70	WV GOLF, PASSAT	Сальник рулевой рейки	TCS
114	P05389	175	19.05*34.6*4.4/5.9	1РМ	F-00688	70	SCODA FELICIA	Сальник рулевой рейки	TCS
115	P05389	175	19.05*34.6*4.4/5.9	1РМ	F-00895	70	MAZDA	Сальник рулевой рейки	TCS
116	P05710	205	19.05*34.6*6.2/9.2	1РМ	F-00868	70	VOLVO, FIAT	Сальник рулевой рейки	TCS
117	P03971	210	19.05*34.6*6.3/7.3	1РМ	F-00368	70	VW, FIAT	Сальник рулевой рейки	TCS
118	P03971	210	19.05*34.6*6.3/7.3	1РМ	F-00561	70	OPEL, FORD	Сальник рулевой рейки	TCS
119	P03632	63	19.05*36*6.5	1РМA	F-00146	100	VOLVO	Сальник насоса гидроусилителя	TCS
120	P07063	139	19.05*36*6.7	0MA	F-00158	100	WV, FIAT	Сальник насоса гидроусилителя	TCS
121	P07063	136	19.05*36*6.7	0MA	F-00163	100	CHRYSLER	Сальник насоса гидроусилителя	TCS
122	P03632	86	19.05*36*6.5	1РМA	F-00641	100	DODGE	Сальник насоса гидроусилителя	TCS
123	P03566	123	19.05*37*6.5/8	1РМ	F-00436	100	RENAULT, PEUGEOT	Сальник рулевой рейки	TCS
124	P03566	126	19.05*37*6.5/8	1РМ	F-00915	100	SSANG YONG	Сальник рулевой рейки	TCS
125	P10624	43	19.5*30*5/6	1РМ	F-00063X	100	Ремонтный размер	Сальник рулевой рейки	TCS
126	P10624	30	19.5*30*5/6	1РМ	F-00297X	100	Ремонтный размер	Сальник рулевой рейки	TCS
127	P10624	33	19.5*30*5/6	1РМ	F-00558X	100	Ремонтный размер	Сальник рулевой рейки	TCS
128	P10624	34	19.5*30*5/6	1РМ	F-00663X	100	Ремонтный размер	Сальник рулевой рейки	TCS
129	P10624	45	19.5*30*5/6	1РМ	F-00681X	100	Ремонтный размер	Сальник рулевой рейки	TCS
130	P10624	28	19.5*30*5/6	1РМ	F-00887X	100	Ремонтный размер	Сальник рулевой рейки	TCS
131	P10624	49	19.5*30*5/6	1РМ	F-00978X	100	Ремонтный размер	Сальник рулевой рейки	TCS
132	P10624	46	19.5*30*5/6	1РМ	F-01159X	100	Ремонтный размер	Сальник рулевой рейки	TCS
133	P09841	230	19.9*39.9*6.5	1РМ	F-00138	100	OPEL, FIAT	Сальник рулевой рейки	TCS
134	P02121	500	20*30*5/6	1РМ	F-00063	70	RENAULT, FORD	Сальник рулевой рейки	TCS
135	P02121	40	20*30*5/6	1РМ	F-00297	70	MAZDA	Сальник рулевой рейки	TCS
136	P02121	500	20*30*5/6	1РМ	F-00558	70	MERCEDES	Сальник рулевой рейки	TCS
137	P02121	500	20*30*5/6	1РМ	F-00663	70	TOYOTA	Сальник рулевой рейки	TCS
138	P02121	500	20*30*5/6	1РМ	F-00681	70	AUDI, WV	Сальник рулевой рейки	TCS
139	P02121	30	20*30*5/6	1РМ	F-00887	70	BMW	Сальник рулевой рейки	TCS
140	P02121	500	20*30*5/6	1РМ	F-00978	70	OPEL	Сальник рулевой рейки	TCS
141	P02121	500	20*30*5/6	1РМ	F-01159	70	ZF	Сальник рулевой рейки	TCS
142	P08388	112	20*30*7	1РМ	F-00054	70	ZF	Сальник рулевой рейки	TCS
143	P08388	136	20*30*7	1РМ	F-00666	70	ZF	Сальник рулевой рейки	TCS
144	P05553	120	20*30*7	7V2	F-00884	70	AUDI	Сальник рулевой рейки	TCS
145	P05771	300	20*32*5/5.5	1РМ	F-00058	70	CITROEN	Сальник рулевой рейки	TCS
146	P05554	300	20*32*7 	7V2	F-00217	200	MAZDA	Сальник рулевой рейки	TCS
