"sku","name","price","q"
2000,"A11165",1000,85
531,"F-00009",100,102
1,"F-0000A",200,358
248,"F-0000B",200,462
518,"F-0000C",200,453
1060,"F-0000D",200,1913
95,"F-00011",70,137
1132,"F-00011X",100,24
279,"F-00012",200,8
283,"F-00012M",200,74
511,"F-00014",200,50
512,"F-00014M",200,167
476,"F-00014X",200,80
508,"F-00014X1",200,30
404,"F-00014XX",200,86
515,"F-00015",200,142
479,"F-00015X",200,43
408,"F-00015XX",200,37
277,"F-00016",200,159
255,"F-00016X",200,0
975,"F-00017",200,197
942,"F-00017X",200,109
925,"F-00017XX",200,79
273,"F-00018",200,25
251,"F-00018X",200,71
214,"F-00018XX",200,27
266,"F-00019",100,150
978,"F-00021",200,118
946,"F-00021X",200,103
927,"F-00021XX",200,123
875,"F-00022",200,164
795,"F-00022X",200,160
1155,"F-00022XA",200,65
753,"F-00022XX",200,42
548,"F-00023",200,139
480,"F-00023X",200,32
409,"F-00023XX",200,35
280,"F-00024",200,40
284,"F-00024M",200,84
257,"F-00024X",200,83
218,"F-00024XX",200,87
657,"F-00025",100,63
608,"F-00025X",200,415
858,"F-00026",100,126
859,"F-00026M",200,69
790,"F-00026X",200,78
202,"F-00027",100,467
181,"F-00027X",200,335
372,"F-00028",100,783
317,"F-00028X",200,59
271,"F-00028XX",200,184
979,"F-00029",200,123
947,"F-00029X",200,108
928,"F-00029XX",200,80
92,"F-00030",100,120
560,"F-00031",100,177
305,"F-00032",100,132
976,"F-00033",200,245
943,"F-00033X",200,121
926,"F-00033XX",200,78
278,"F-00034",200,211
256,"F-00034X",200,0
274,"F-00035",200,9
252,"F-00035X",200,73
215,"F-00035XX",200,45
306,"F-00036",100,172
96,"F-00037",70,370
1133,"F-00037X",100,58
513,"F-00038",200,312
514,"F-00038M",200,196
477,"F-00038X",200,50
509,"F-00038X1",200,35
405,"F-00038XX",200,73
93,"F-00039",70,0
94,"F-00040",70,25
1131,"F-00041",100,461
899,"F-00045",200,295
990,"F-00046",100,408
661,"F-00047",100,34
396,"F-00048",100,95
44,"F-00051",70,2
14,"F-00052",70,177
142,"F-00054",70,124
876,"F-00057",200,189
796,"F-00057X",200,159
