1,F-0000A,09.7*13.2*3,L-RING,TEFLON,фото ,465,120   ,"AUDI 100, A6"
2,F-00074,10*20*7.5,0M,SCNY,фото ,38,60   ,OPEL
3,F-00355,10*20*7.5,0M,SCNY,фото ,15,60   ,DAEWOO
4,F-00608,11.7*22*6/8.5,1РМ2,DC4Y,фото ,360,60   ,CHRYSLER
5,F-00102,12*27*9/10,7V1PM,CNB11W11 ,фото ,154,90   ,CHEVROLET
6,F-00178,12*27*9/10,7V1PM,CNB11W11 ,фото ,155,90   ,OPEL
7,F-00726,12*38*10,7V2,GNB ,фото ,333,90   ,"CHRYSLER, DODGE"
8,F-00372,14*27*9/10,7V1PM,CNB11W11 ,фото ,350,90   ,OPEL
9,F-00523,14*30.5/38.4*5/11,6V3,CNB12W11,фото ,345,90   ,CHRYSLER
10,F-00432,15*28*6.3,1РМA,TZ,фото ,41,60   ,OPEL
11,F-00597,15*28*6.3,1РМA,TZ,фото ,55,60   ,SUBARU
12,F-00744,15*28*6.3,1РМA,TZ,фото ,55,60   ,DAEWOO
13,F-00365,16*26*5/6 ,1РМ,TC1W24,фото ,61,30   ,"AUDI, BMW"
14,F-00052,16*28*7,1РМ,TF,фото ,290,30   ,AUDI 
15,F-00149,16*30*6.3,1РМA,TZNR ,фото ,49,60   ,FORD MONDEO
16,F-00555,16*30*6.3,1РМA,TZNR ,фото ,61,60   ,FORD TEMPO
17,F-00689,16*30*6.3,1РМA,TZNR ,фото ,63,60   ,FIAT
18,F-00894,16*30*6.3,1РМA,TZNR ,фото ,49,60   ,FORD TRANSIT
19,F-01106,16*30*6.3,1РМA,TZNR ,фото ,48,60   ,FORD FOCUS
20,F-00976,16.9*27*5/6 ,1РМ,TC1W24,фото ,70,30   ,MERCEDES
21,F-00148,17*28*8,0M2,DC,фото ,136,60   ,VOLVO
22,F-00506,17*28*8,0M2,DC,фото ,125,60   ,FIAT DUKATO
23,F-00586,17*29*8,1РМA,TC4 ,фото ,500,60   ,TOYOTA
24,F-00556,17*29.9*7,1РМ,TCR ,фото ,481,60   ,"AUDI, WV"
25,F-00356,17*30*7,0M2,DC,фото ,68,60   ,FIAT
26,F-00414,17*30*7,1РМ,TC4,фото ,134,30   ,MAZDA
27,F-00473,17*30*7,1РМ,TC4,фото ,126,30   ,KIA
28,F-00154,17*32*7,1РМ,TC4 ,фото ,26,30   ,NISSAN
29,F-00465,17*32*8.5,0AM2,DZ,фото ,319,60   ,TOYOTA
30,F-00165,17*34*8,1РМA,TZ,фото ,300,60   ,"TOYOTA, LEXUS"
31,F-00122,17*36*6.6,0MA,SZR,фото ,25,90   ,WV
32,F-00687,17*36*6.6,0MA,SZR,фото ,20,90   ,CHEVROLET
33,F-00781X,17.5*30*5/5.7 ,1РМ,TC4P,фото ,52,60   ,Ремонтный размер
34,F-00519,18*25.5*4/6.5,4РМ,TC8 ,фото ,33,60   ,DAF
35,F-00982,18*25.5*4/6.5,4РМ,TC8 ,фото ,25,60   ,MAN
36,F-00182,18*28*5/6,1РМ,TGN11 ,фото ,300,30   ,AUDI
37,F-00080,18*30*6,1РМ,TC4 ,фото ,92,30   ,RENAULT ESPACE
38,F-00632,18*30*6,1РМ,TC4 ,фото ,98,30   ,RENAULT SAFRANE
39,F-00782,18*30*6,1РМ,TC4 ,фото ,102,30   ,RENAULT CLIO
40,F-00152,18*30*7,1РМ,TC4 ,фото ,5,30   ,NISSAN
41,F-00771,18*30*7,1РМ,TC4,фото ,5,30   ,FORD
42,F-00855,18*30*7,1РМ,TC4,фото ,6,30   ,MAZDA
43,F-01091,18*30*7,1РМ,TC4,фото ,4,30   ,SUBARU
44,F-00051,18*30*7/8,1РМ,TGN11 ,фото ,53,30   ,BMW
45,F-00183,18*30*7/8,1РМ,TGN11 ,фото ,70,30   ,NISSAN
46,F-00517,18*30*7/8,1РМ,TGN11 ,фото ,58,30   ,"AUDI, WV"
47,F-00648,18*30*7/8,1РМ,TGN11 ,фото ,70,30   ,"OPEL, IVECO"
48,F-00117,18*32*7,1РМ,TC4,фото ,133,30   ,FORD
49,F-00959,18*32*7,1РМ,TC4,фото ,128,30   ,SUBARU
50,F-00164,18*32*8,1РМA,TZ,фото ,73,60   ,ISUZU
51,F-00741,18*32*8,1РМA,TZ,фото ,67,60   ,TOYOTA
52,F-00421X,18*33.3*8,1РМA,TZN ,фото ,69,60   ,Ремонтный размер
53,F-00185,18*34*7,1РМ,TC4,фото ,353,30   ,NISSAN
54,F-00464,18*34*8,1РМA,TZ,фото ,382,60   ,CHRYSLER
55,F-00484X,18.5*29*4.5/5.5,1РМ,TG4P,фото ,351,60   ,Ремонтный размер
56,F-00114X,18.5*32*6/7,1РМ,TC4P,фото ,76,60   ,Ремонтный размер
57,F-00366X,18.5*32*6/7,1РМ,TC4P,фото ,78,60   ,Ремонтный размер
58,F-00403X,18.5*32*6/7,1РМ,TC4P,фото ,73,60   ,Ремонтный размер
59,F-00600X,18.5*32*6/7,1РМ,TC4P,фото ,78,60   ,Ремонтный размер
60,F-00779X,18.5*32*6/7,1РМ,TC4P,фото ,38,60   ,Ремонтный размер
61,F-01072X,18.5*32*6/7,1РМ,TC4P,фото ,74,60   ,Ремонтный размер
62,F-00561X,18.5*34.6*6.3/7.3,1РМ,TC4,фото ,9,60   ,Ремонтный размер
63,F-00136,18.7*35*7/7.8,1РМ,TC4P,фото ,72,30   ,MITSUBISHI
64,F-00657,18.7*35*7/7.8,1РМ,TC4P,фото ,63,30   ,ISUZU
65,F-00189,18.75*30*5/5.5,1РМ,TG4P ,фото ,0,30   ,"NISSAN, MAZDA"
66,F-00395,18.75*30*5/5.5,1РМ,TG4P ,фото ,5,30   ,"SUZUKI, HONDA"
67,F-01140,18.75*30*5/5.5,1РМ,TG4P ,фото ,23,30   ,"SUBARU, DAIHATSU"
68,F-00313X,18.9*28*5,1РМ,TC ,фото ,28,60   ,Ремонтный размер
