"Product SKU";"Product Name";"p";"q"
531;"F-00009";"60   ";110
1;"F-0000A";"120   ";375
248;"F-0000B";"120   ";462
518;"F-0000C";"120   ";453
1060;"F-0000D";"120   ";1915
95;"F-00011";"40   ";254
1132;"F-00011X";"60   ";39
279;"F-00012";"120   ";37
283;"F-00012M";"120   ";90
511;"F-00014";"120   ";92
512;"F-00014M";"120   ";271
476;"F-00014X";"120   ";7
508;"F-00014X1";"120   ";75
404;"F-00014XX";"120   ";20
515;"F-00015";"120   ";94
479;"F-00015X";"120   ";9
408;"F-00015XX";"120   ";33
277;"F-00016";"120   ";177
255;"F-00016X";"120   ";0
975;"F-00017";"120   ";243
942;"F-00017X";"120   ";50
925;"F-00017XX";"120   ";19
273;"F-00018";"120   ";90
251;"F-00018X";"120   ";9
214;"F-00018XX";"120   ";40
266;"F-00019";"60   ";179
978;"F-00021";"120   ";57
946;"F-00021X";"120   ";0
927;"F-00021XX";"120   ";7
875;"F-00022";"120   ";65
795;"F-00022X";"120   ";176
1155;"F-00022XA";"120   ";95
753;"F-00022XX";"120   ";22
548;"F-00023";"120   ";130
480;"F-00023X";"120   ";9
409;"F-00023XX";"120   ";28
280;"F-00024";"120   ";15
284;"F-00024M";"120   ";90
257;"F-00024X";"120   ";58
218;"F-00024XX";"120   ";131
657;"F-00025";"60   ";101
608;"F-00025X";"120   ";190
858;"F-00026";"60   ";130
859;"F-00026M";"120   ";145
790;"F-00026X";"120   ";20
202;"F-00027";"60   ";178
181;"F-00027X";"120   ";40
372;"F-00028";"60   ";494
317;"F-00028X";"120   ";0
271;"F-00028XX";"120   ";193
979;"F-00029";"120   ";46
947;"F-00029X";"120   ";0
928;"F-00029XX";"120   ";7
92;"F-00030";"60   ";163
560;"F-00031";"60   ";316
305;"F-00032";"60   ";197
976;"F-00033";"120   ";222
943;"F-00033X";"120   ";28
926;"F-00033XX";"120   ";24
278;"F-00034";"120   ";226
256;"F-00034X";"120   ";0
274;"F-00035";"120   ";90
252;"F-00035X";"120   ";6
215;"F-00035XX";"120   ";50
306;"F-00036";"60   ";192
96;"F-00037";"40   ";508
1133;"F-00037X";"60   ";63
513;"F-00038";"120   ";384
514;"F-00038M";"120   ";158
477;"F-00038X";"120   ";7
509;"F-00038X1";"120   ";29
405;"F-00038XX";"120   ";20
93;"F-00039";"40   ";105
94;"F-00040";"40   ";98
1131;"F-00041";"60   ";467
899;"F-00045";"120   ";307
990;"F-00046";"60   ";435
661;"F-00047";"60   ";0
396;"F-00048";"60   ";155
44;"F-00051";"40   ";13
14;"F-00052";"40   ";190
142;"F-00054";"40   ";0
876;"F-00057";"120   ";60
796;"F-00057X";"120   ";177
1156;"F-00057XA";"120   ";50
754;"F-00057XX";"120   ";26
145;"F-00058";"40   ";83
968;"F-00062";"60   ";195
969;"F-00062M";"120   ";259
938;"F-00062X";"120   ";64
921;"F-00062XX";"120   ";60
134;"F-00063";"40   ";170
125;"F-00063X";"60   ";15
205;"F-00069";"60   ";80
1142;"F-00070";"120   ";420
488;"F-00070X";"120   ";39
541;"F-00071";"120   ";255
474;"F-00071X";"120   ";112
519;"F-00072";"120   ";252
468;"F-00072X";"120   ";58
936;"F-00073";"120   ";135
2;"F-00074";"60   ";0
394;"F-00077";"120   ";33
332;"F-00077X";"120   ";65
380;"F-00078";"60   ";120
303;"F-00079";"120   ";24
37;"F-00080";"40   ";106
912;"F-00081";"60   ";90
304;"F-00082";"60   ";28
311;"F-00086";"60   ";0
112;"F-00087";"40   ";106
848;"F-00088";"60   ";29
371;"F-00089";"60   ";157
270;"F-00089X";"60   ";210
428;"F-00090";"120   ";89
429;"F-00090M";"120   ";212
1160;"F-00090X";"120   ";89
296;"F-00090XX";"120   ";201
1055;"F-00091";"120   ";447
544;"F-00093";"120   ";159
576;"F-00094";"120   ";0
574;"F-00094M";"120   ";86
494;"F-00094X";"120   ";12
402;"F-00095";"120   ";137
398;"F-00095M";"120   ";149
333;"F-00095X";"120   ";27
563;"F-00096";"60   ";20
272;"F-00097";"60   ";103
210;"F-00098";"120   ";18
461;"F-00099";"60   ";48
158;"F-00100";"60   ";279
157;"F-00100A";"60   ";71
