"Product SKU";"Product Name";"Цена";"Остаток"
531;"F-00009";"80   ";104
1;"F-0000A";"150   ";363
248;"F-0000B";"150   ";462
518;"F-0000C";"150   ";453
1060;"F-0000D";"150   ";1915
95;"F-00011";"50   ";200
1132;"F-00011X";"80   ";34
279;"F-00012";"150   ";35
283;"F-00012M";"150   ";90
511;"F-00014";"150   ";64
512;"F-00014M";"150   ";200
476;"F-00014X";"150   ";100
508;"F-00014X1";"150   ";50
404;"F-00014XX";"150   ";88
515;"F-00015";"150   ";160
479;"F-00015X";"150   ";45
408;"F-00015XX";"150   ";37
277;"F-00016";"150   ";171
255;"F-00016X";"150   ";0
975;"F-00017";"150   ";221
942;"F-00017X";"150   ";115
925;"F-00017XX";"150   ";19
273;"F-00018";"150   ";67
251;"F-00018X";"150   ";75
214;"F-00018XX";"150   ";32
266;"F-00019";"80   ";159
978;"F-00021";"150   ";125
946;"F-00021X";"150   ";75
927;"F-00021XX";"150   ";80
875;"F-00022";"150   ";350
795;"F-00022X";"150   ";167
1155;"F-00022XA";"150   ";67
753;"F-00022XX";"150   ";45
548;"F-00023";"150   ";160
480;"F-00023X";"150   ";45
409;"F-00023XX";"150   ";37
280;"F-00024";"150   ";45
284;"F-00024M";"150   ";84
257;"F-00024X";"150   ";100
218;"F-00024XX";"150   ";109
657;"F-00025";"80   ";89
608;"F-00025X";"150   ";445
858;"F-00026";"80   ";180
859;"F-00026M";"150   ";100
790;"F-00026X";"150   ";100
202;"F-00027";"80   ";475
181;"F-00027X";"150   ";340
372;"F-00028";"80   ";787
317;"F-00028X";"150   ";70
271;"F-00028XX";"150   ";189
979;"F-00029";"150   ";125
947;"F-00029X";"150   ";75
928;"F-00029XX";"150   ";80
92;"F-00030";"80   ";141
560;"F-00031";"80   ";236
305;"F-00032";"80   ";190
976;"F-00033";"150   ";132
943;"F-00033X";"150   ";115
926;"F-00033XX";"150   ";150
278;"F-00034";"150   ";215
256;"F-00034X";"150   ";0
274;"F-00035";"150   ";63
252;"F-00035X";"150   ";75
215;"F-00035XX";"150   ";45
306;"F-00036";"80   ";176
96;"F-00037";"50   ";442
1133;"F-00037X";"80   ";58
513;"F-00038";"150   ";355
514;"F-00038M";"150   ";200
477;"F-00038X";"150   ";100
509;"F-00038X1";"150   ";50
405;"F-00038XX";"150   ";88
93;"F-00039";"50   ";72
