"Product SKU";"Product Name";"Price";"Quantity";"category"
1168;"F-01130";150;150;"Сальники рулевых реек "
1167;"F-00235";150;149;"Сальники рулевых реек "
1166;"F-00253A";150;194;"Сальники рулевых реек "
1165;"F-00824";150;241;"Сальники рулевых реек "
1164;"F-01569";150;258;"Сальники рулевых реек "
1163;"F-00423A";150;23;"Сальники рулевых реек "
1162;"F-00247A";150;254;"Сальники рулевых реек "
1161;"F-00376X";150;242;"Сальники рулевых реек "
1160;"F-00090X";150;180;"Сальники рулевых реек "
1131;"F-00041";80;467;"Сальники рулевых реек "
1133;"F-00037X";80;58;"Сальники рулевых реек "
1134;"F-00849X";80;79;"Сальники рулевых реек "
1135;"F-00868X";80;80;"Сальники рулевых реек "
1136;"F-00561X";80;63;"Сальники рулевых реек "
1137;"F-00368X";80;60;"Сальники рулевых реек "
1138;"F-00109X";80;450;"Сальники рулевых реек "
1139;"F-01171";80;411;"Сальники рулевых реек "
1140;"F-00815";80;433;"Сальники рулевых реек "
1141;"F-01332";80;436;"Сальники рулевых реек "
1142;"F-00070";150;366;"Сальники рулевых реек "
1143;"F-01344";150;420;"Сальники рулевых реек "
1144;"F-00798";150;429;"Сальники рулевых реек "
1145;"F-01340";80;276;"Сальники рулевых реек "
1146;"F-00786X";80;250;"Сальники рулевых реек "
1147;"F-00786";80;96;"Сальники рулевых реек "
1148;"F-00211X";150;298;"Сальники рулевых реек "
1149;"F-01347";150;489;"Сальники рулевых реек "
1150;"F-01113";150;495;"Сальники рулевых реек "
1151;"F-00594";150;96;"Сальники рулевых реек "
1152;"F-00458";80;66;"Сальники рулевых реек "
1153;"F-00587XA";150;100;"Сальники рулевых реек "
1154;"F-00444XA";150;89;"Сальники рулевых реек "
1155;"F-00022XA";150;67;"Сальники рулевых реек "
1156;"F-00057XA";150;50;"Сальники рулевых реек "
1132;"F-00011X";80;32;"Сальники рулевых реек "
1129;"F-00635A";350;153;"Сальники рулевых реек "
1128;"F-00559";250;28;"Сальники рулевых реек "
1127;"F-00639";250;17;"Сальники рулевых реек "
