"Product SKU","Product Name","Price","Quantity","marka","god","baltika","naznachenie","primmenenie"
"8055","RK8055","1520","107","FORD FOCUS","1998-2011","СОСТАВ: 
ЛЕВЫЙ:         F-00844 	25*37.54*7  
ПРАВЫЙ 1:   F-00844 	25*37.54*7
ПРАВЫЙ 2:    F-00534 	25*41.5*7.5
НИЗ 1:    F-00758 	23.3*29.8*4.5 
НИЗ 2:    F-00433 	28.6*37.6*5
ВЕРХ 1:     F-00720 	20.6*41.2*6.3
ВЕРХ 2:    F-00039 	19*34.6*4.4/5.9
ПЫЛЬНИК:  F-00815 	  20.5*46*3.3/5
РЕЗИНКА:    40*2.5","",""
"8054","RK8054","1420","45","LAND ROVER DISCOVERY III","2004-2009","СОСТАВ: 
ЛЕВЫЙ:      F-00033 	30*42.5*7 
ПРАВЫЙ:   F-00033 	30*42.5*7
НИЗ:         F-00758 	23.3*29.8*4.5
ВЕРХ:      F-00109 	20*42.5*7/7.8
РЕЗИНКА:    43*3
ПЫЛЬНИК:   F-00191  	20*44*4.5","",""
"8053","RK8053","1360","58","CHRYSLER VOYAGER IV","1999-2008","СОСТАВ: 
ЛЕВЫЙ:    F-00488 	25*38.5/45*4/10   
ПРАВЫЙ:   F-00488 	25*38.5/45*4/10
НИЗ:      F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00037 	19*34.6*6.2/9.2
РЕЗИНКА:   37*2","",""
"8052","RK8052","1360","55","CHRYSLER VOYAGER III","1995-2001","СОСТАВ: 
ЛЕВЫЙ:       F-00369 	25*37.54/41.24*4.2/7.4
ПРАВЫЙ:   F-00369 	25*37.54/41.24*4.2/7.4
НИЗ:      F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00037 	19*34.6*6.2/9.2
РЕЗИНКА:   37*2","",""
"8051","RK8051","1280","117","VW GOLF III","1991-1999","СОСТАВ: 
ЛЕВЫЙ:     F-00642 	23*34.3/38*3.2/7.4  
ПРАВЫЙ:   F-00396 	23*34.5*6.5
НИЗ:       F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00040 	19*34.6*4.4/5.9
РЕЗИНКА:   34*2.5","",""
"8050","RK8050","1280","115","VW PASSAT B3","1988-1994","СОСТАВ: 
ЛЕВЫЙ:     F-00642 	23*34.3/38*3.2/7.4  
ПРАВЫЙ:   F-00396 	23*34.5*6.5
НИЗ:       F-00086 	23.3*30*4/6.7
ВЕРХ:   F-00040 	19*34.6*4.4/5.9
РЕЗИНКА:   34*2.5","",""
"8049","RK8049","1320","27","MITSUBISHI SPACE WAGON","1997-2004","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8048","RK8048","1320","30","MITSUBISHI LANCER","2000-2015","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8047","RK8047","1320","29","MITSUBISHI DION","1999-2005","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
"8046","RK8046","1320","33","MITSUBISHI CHARIOT","1997-2003","СОСТАВ: 
ЛЕВЫЙ:      F-01170 	26*38*8.5 
ПРАВЫЙ:   F-00447 	26*42.5*8.5
НИЗ:      F-00206 	26*38*6.5 
ВЕРХ:   F-00600 	19*32*6/7
РЕЗИНКА:  3.5*1.5  ( 4шт.), 35*2.3, 38*2.3","",""
