tcs,Quantity,Product SKU,Product Name,Price,size,tip
2,1,K-00002,K-00002,700,26*50*18.3,œŒ–ÿ≈Õ‹
3,5,K-00003,K-00003,700,26*45*16.3,œŒ–ÿ≈Õ‹
4,5,K-00004,K-00004,700,30*48*16,œŒ–ÿ≈Õ‹
6,5,K-00006,K-00006,700,30*54*18.6,œŒ–ÿ≈Õ‹
406,0,3983,3983,960,130*180,TG
608,6,H-07576,H-07576,120,8*22*7,œŒƒÿ»œÕ» 
1060,18,3145,3145,160,031*049,TC
1119,3,3189,3189,160,027*042,TC
1142,2,3356,3356,140,018*032,DCY
1151,1,3418,3418,220,055*072,TC
1171,18,3129,3129,180,044*065,TC
1290,2,3061,3061,220,050*068,TCR
1296,3,3465,3465,180,038*055,TC
1428,3,3157,3157,160,025*041,TC
1507,3,3422,3422,220,052*075,SC
1544,3,3201,3201,160,026*042,TC
1768,3,3341,3341,120,014*025,TC
1833,3,3313,3313,120,012*024,TC
1874,1,3309,3309,140,012*032,TC
1886,2,3294,3294,140,016*035,SC
1960,2,3403,3403,260,070*092,TCL
2006,3,3252,3252,220,030*072,TC
2051,3,3194,3194,140,024*040,TC
2140,3,3214,3214,160,030*042,TCR
2210,6,3067,3067,200,050*062,TC
2251,1,3312,3312,120,012*026,TC
2264,5,3288,3288,120,016*028,TC
2284,3,3149,3149,160,024*047,SC
2304,3,3324,3324,120,020*028,SC
2305,3,3238,3238,160,028*050,TC
2308,3,3055,3055,160,020*052,TC
2346,0,3132,3132,120,025*040,SC
2402,3,3417,3417,200,055*070,TC
2439,8,3529,3529,200,051*070,TCR
2497,2,3331,3331,120,015*026,TC
2507,3,3334,3334,140,015*032,SC
2519,3,3333,3333,140,015*035,TC
2567,30,3558,3558,120,017*028,TCR
2585,3,3480,3480,160,036*050,TB-H
2593,3,3347,3347,140,017*040,TC
2618,1,3059,3059,160,050*072,TC
2640,3,3181,3181,160,030*045,SC
2666,3,3257,3257,180,030*055,SC
2821,3,3416,3416,200,055*068,TC
2850,1,3062,3062,200,050*068,TA
2894,3,3109,3109,180,045*072,TC
2918,1,3402,3402,260,070*095,SC
2927,3,3036,3036,200,045*065,TC
2962,3,3277,3277,200,042*062,SC
2982,1,3400,3400,260,075*095,TC
3072,1,3408,3408,260,065*100,SC
3080,0,3531,3531,220,048*072,TC
3092,3,3103,3103,200,038*060,TC
3121,2,3332,3332,140,015*040,TC
3166,3,3239,3239,160,028*047,TC
3293,3,3515,3515,220,042*075,TC
3306,3,3326,3326,120,015*030,SC
3314,2,3051,3051,140,022*040,SC
3336,1,3381,3381,340,085*110,SC
3354,1,3393,3393,340,*,SB
