	Product Name	Price	Quantity	size	tcs	tip	Product SKU		
	3000	360	13	035*047	P11499	CNB15	3000		
	3001	400	15	060*070	P11419	CNB15	3001		
	3002	200	48	025*035	P11405	TC4P	3002		
	3003	200	19	031*039	P11422	UIR	3003		
	3004	400	18	048*060	P11460	CNB15	3004		
	3005	400	18	051*062	P11461	CNB15	3005		
	3006	400	18	048*059	P11418	CNB15	3006		
	3007	120	91	025*038	P07304	SC	3007		
	3008	120	98	028*040	P01906	WPR	3008		
	3009	400	48	020*048	P06483	DS4S	3009		
	3010	120	47	030*043	P00888	TC	3010		
	3011	400	6	042*58/60	12016	SBR	3011		
	3012	600	1	044*065	8636014	TGL	3012		
	3013	340	1	077*100	12212	TGL	3013		
	3014	780	1	028*57/59	1034111	RWDR	3014		
	3015	200	0	040*054	19016499	TZ	3015		
	3016	260	0	049*065	04269956AB	SZ	3016		
	3017	200	3	048*062	I3601	TZ	3017		
	3018	260	17	045*64/74	11838	KCJY	3018		
	3019	180	1	045*062	P10783	TCL	3019		
	3020	180	3	045*062	30055	SCR	3020		
	3021	160	3	045*060	16291	TBY	3021		
	3022	140	3	045*060	2911	SC	3022		
	3023	120	17	045*057	27413	TCR	3023		
	3024	120	3	045*058	31304	SGR	3024		
	3025	160	18	045*060	12951	TCJ	3025		
	3026	300	16	047*070		TGJS2R9	3026		
	3027	400	8	045*075		AJ	3027		
	3028	160	17	045*057	27040	TCR	3028		
	3029	160	3	045*055	1440	SC	3029		
	3030	240	2	045*068	11452	TC9RY	3030		
	3031	580	9	045*75/85	10346	AJ	3031		
	3032	200	2	045*067	9597	TBGR	3032		
	3033	240	1	045*067	23796	TGR	3033		
	3034	280	3	045*65/70	5489	SCJR	3034		
	3035	200	1	045*065	6866	TBR	3035		
	3036	200	2	045*065	2927	TC	3036		
	3037	200	13	019*042	9383	TC	3037		
	3038	200	17	020*034	24235	VC	3038		
	3039	200	3	020*031	10367	TC	3039		
	3040	200	1	024*035	26253	TG4	3040		
	3041	260	17	022*040		SAYR	3041		
	3042	140	0	022*034	14837	TCR	3042		
	3043	140	1	022*035	27573	SC	3043		
	3044	160	6	022*035	12710	TCL	3044		
	3045	140	0	022*036	20292	TCN	3045		
	3046	140	3	022*038	23766	TGR	3046		
	3047	140	4	022*038	15091	TCR	3047		
	3048	160	1	022*047	20628	TCNY	3048		
	3049	160	2	022*045	26046	TG	3049		
	3050	160	5	022*042	21839	TCN1	3050		
	3051	140	0	022*040	3314	SC	3051		
	3052	140	4	022*035	15247	TGR	3052		
	3053	160	3	022*035	13333	TCNY	3053		
	3054	140	5	021*032	9811	TLR	3054		
	3055	160	3	020*052	2308	TC	3055		
	3056	140	5	021*040	12599	TGR	3056		
	3057	140	17	022*040	20096	SCY	3057		
	3058	160	18	048*067	11175	SC	3058		
	3059	160	1	050*072	2618	TC	3059		
	3060	220	3	050*073	18902	TC9	3060		
	3061	220	2	050*068	1290	TCR	3061		
	3062	200	1	050*068	2850	TA	3062		
	3063	460	1	050*66/75	17792	TBCJAY	3063		
	3064	280	3	050*067	8239	TCY	3064		
	3065	280	2	051*094	24497	SC	3065		
	3066	200	3	050*065		P/O	3066		
	3067	200	6	050*062	2210	TC	3067		
	3068	580	13	047*75/85	10347	AJ	3068		
	3069	280	2	047*084	26535	TC	3069		
	3070	260	17	048*075	23794	TGR	3070		
	3071	320	2	048*082	12174	TMR	3071		
	3072	300	19	049*058		VBY	3072		
	3073	320	17	049*064		SCL	3073		
	3074	180	17	034*041	11928	KC	3074		
	3075	160	3	034*044	8989	TC	3075		
	3076	160	2	034*044	19544	TM	3076		
	3077	160	1	034*048	6712	TCR1	3077		
	3078	180	2	034*063	7606	TC9	3078		
	3079	280	3	034*055	8644	SCA	3079		
	3080	220	2	034*054	7605	TC9	3080		
	3081	220	3	034*052	24019	TCR	3081		
	3082	200	3	034*063	25548	TC9R	3082		
	3083	180	11	034*072	3385	SC	3083		
	3084	240	3	035*057	24027	TCN1	3084		
	3085	180	3	035*043		HBX	3085		
	3086	240	3	035*054		TB	3086		
	3087	180	4	035*045	15424	TBY	3087		
	3088	160	3	035*045	23462	TBGR	3088		
	3089	180	3	035*046	17029	TC4	3089		
	3090	220	3	035*065	15056	TB	3090		
	3091	240	2	035*065	10877	TB9	3091		
	3092	200	2	035*063	11104	TCYW7	3092		
	3093	200	2	035*062	11033	TCLY	3093		
	3094	160	3	035*062	3515	SC	3094		
	3095	260	3	035*058	10789	SCAY	3095		
	3096	220	3	035*076	26851	TC9R	3096		
	3097	180	2	038*063	7610	TZ9	3097		
	3098	160	2	038*062	3499	TC	3098		
	3099	180	2	038*052	21234	TC2YW14	3099		
	3100	200	2	038*052	26614	TBGR	3100		
	3101	180	5	038*050		TC	3101		
	3102	180	3	038*050	7599	SCW10	3102		
	3103	200	3	038*060	3092	TC	3103		
	3104	180	18	039*054	20495	KB	3104		
	3105	220	2	045*064	23660	TGL	3105		
	3106	180	0	045*062		TC	3106		
	3107	200	18	046*058	11635	TCR	3107		
	3108	340	2	045*67/72	13598	TGJRY	3108		
	3109	180	2	045*072	2894	TC	3109		
	3110	340	3	045*070	22211	TBCJ9YW14	3110		
	3111	360	18	046*69	4/80	7607	TCJY	3111	
	3112	240	3	046*060	30178	TCR	3112		
	3113	240	2	046*059		TGR	3113		
	3114	260	16	048*080	27000	TZ1	3114		
	3115	280	17	043*055	23578	TCR9	3115		
	3116	180	17	043*058	18859	TB	3116		
	3117	280	17	043*059	7822	KBC9	3117		
	3118	300	6	040*075	3990	TC9R	3118		
	3119	260	2	040*076	26835	TC9	3119		
	3120	280	3	040*076	31712	TC9R9	3120		
	3121	260	18	043*55	5/59	2	25819	KCJM	3121
	3122	280	3	040*080	3498	TC	3122		
	3123	260	2	041*053	20906	TCR	3123		
	3124	240	0	041*056	10119	TM	3124		
	3125	220	2	041*053	11261	TM	3125		
	3126	260	3	041*060	24343	TCN1	3126		
	3127	280	2	041*059	11671	TC9R	3127		
	3128	280	17	044*062	24474	TGL	3128		
	3129	180	17	044*065	1171	TC	3129		
	3130	200	2	044*072	9777	TBR	3130		
	3131	140	2	030*040	13979	SBYW2	3131		
	3132	120	0	025*040	2346	SC	3132		
	3133	140	21	032*047		TCR	3133		
	3134	160	2	034*054	8772	TC9	3134		
	3135	180	0	030*046	8240	TCR	3135		
	3136	200	1	025*045	19413	TA	3136		
	3137	240	3	032*045		TAL	3137		
	3138	180	21	027*047	27250	TGR	3138		
	3139	200	3	027*039	82085	TZ4	3139		
	3140	200	1	026*036	8065	TZ4	3140		
	3141	220	3	030*052	11179	TBR	3141		
	3142	180	3	025*044	23445	TCN1	3142		
	3143	180	3	032*050	24489	TCR	3143		
	3144	180	3	032*050	24488	TCL	3144		
	3145	160	18	031*049	1060	TC	3145		
	3146	160	17	025*042	9316	SCL	3146		
	3147	200	3	033*056	16177	SF	3147		
	3148	160	3	024*045	15616	TC	3148		
	3149	160	3	024*047	2284	SC	3149		
	3150	180	0	025*040	23673	TGR	3150		
	3151	180	3	025*054	24580	TCN1	3151		
	3152	140	4	025*036	12684	TGNY	3152		
	3153	140	0	025*035	4853	TCR	3153		
	3154	140	0	025*032	7687	TC	3154		
	3155	140	1	024*040	25939	TCN11	3155		
	3156	140	5	025*037	3367	TC	3156		
	3157	160	3	025*041	1428	TC	3157		
	3158	160	9	025*042	25949	TGR	3158		
	3159	160	1	026*041	19218	TCNY	3159		
	3160	140	3	026*037		TC4	3160		
	3161	140	3	026*037	13516	TGNY	3161		
	3162	160	3	025*044	26895	TC4	3162		
	3163	180	0	025*052	8400	TCNY	3163		
	3164	160	3	025*050	12946	TF	3164		
	3165	180	3	032*47/52	15273	SBCJYL	3165		
	3166	160	3	032*048	18706	TCR9	3166		
	3167	160	37	032*047	6149	TCR	3167		
	3168	140	3	025.4*035	22253	TCNY	3168		
	3169	140	3	028*040	21100	TCR	3169		
	3170	180	5	028*056	23183	TGR-BI	3170		
	3171	180	3	028*056	26340	TCR	3171		
	3172	160	3	027*047	9653	TC	3172		
	3173	200	18	028*070	27217	TG10R	3173		
	3174	140	2	028*038	21478	SCL	3174		
	3175	160	2	028*041	24809	TCL9	3175		
	3176	160	5	028*042	21497	TFGR	3176		
	3177	160	10	029*043	20914	TCAL	3177		
	3178	160	3	029*045	22801	TCL9	3178		
	3179	160	0	029*046	26085	TCL	3179		
	3180	200	29	029*038	P01510	SGN	3180		
	3181	160	3	030*045	2640	SC	3181		
	3182	160	0	028*043	24790	TCR9	3182		
	3183	160	3	025*045	4199	SC	3183		
	3184	160	1	025*045	17366	TCN1	3184		
	3185	140	8	027*037	10990	SGR	3185		
	3186	140	3	027*040	23776	TGR	3186		
	3187	140	3	027*040	4709	TC	3187		
	3188	160	2	025*047	3999	SC	3188		
	3189	160	3	027*042	1119	TC	3189		
	3190	160	2	027*042	21831	TCN1	3190		
	3191	160	3	026*047	13382	TCY	3191		
	3192	160	18	026*043	23688	TGR	3192		
	3193	140	0	024*040	10578	TF	3193		
	3194	140	1	024*040	2051	TC	3194		
	3195	140	2	024*035	1724	SC	3195		
	3196	140	2	023*034	11572	TCL	3196		
	3197	160	0	025*047	23775	TGR	3197		
	3198	160	1	025*045	21188	TCN11	3198		
	3199	140	3	023*035	23760	TGR	3199		
	3200	140	3	024*040	15248	TGR	3200		
	3201	160	3	026*042	1544	TC	3201		
	3202	160	3	026*042	22031	TGR	3202		
	3203	140	3	023*036	11627	SGRY	3203		
	3204	140	3	023*040	7869	TC	3204		
	3205	160	4	030*042	17224	TCN1	3205		
	3206	160	3	030*041		TGY	3206		
	3207	140	1	030*040	26599	TGR	3207		
	3208	140	3	030*040	26600	TGL	3208		
	3209	160	7	030*047	15220	TGW2	3209		
	3210	160	3	030*047	23668	TGR	3210		
	3211	140	3	030*040	24958	TC4	3211		
	3212	160	17	030*044	3900	TCR	3212		
	3213	160	3	030*043	23695	TGR	3213		
	3214	160	3	030*042	2140	TCR	3214		
	3215	160	0	030*042	24821	TGR	3215		
	3216	160	3	029*043	29*43*7	TGW	3216		
	3217	160	21	031*050	25323	TGR	3217		
	3218	160	18	031*047	23753	TGR	3218		
	3219	160	3	031*046	13136	TCL	3219		
	3220	160	17	031*045	23573	TCR9	3220		
	3221	160	7	033*045	24929	TC4	3221		
	3222	160	7	033*044	23792	TGL	3222		
	3223	160	3	033*043	23780	TGR	3223		
	3224	160	0	033*043	26969	SC4	3224		
	3225	140	3	033*040	17604	SCY	3225		
	3226	180	10	032*055	12582	TCN1	3226		
	3227	160	3	033*047	12179	TCR	3227		
	3228	160	17	033*050	20999	TBL	3228		
	3229	180	2	033*054	14628	TCY	3229		
	3230	180	3	032*052	20530	SCL1	3230		
	3231	180	0	032*052	3517	TC	3231		
	3232	160	32	032*045	14108	TCR	3232		
	3233	160	3	032*046	24487	TCR	3233		
	3234	180	3	032*052	24849	DC9	3234		
	3235	180	3	032*052	3527	SC	3235		
	3236	200	2	051*065	26185	TGR	3236		
	3237	180	3	028*052	14174	TXC9Y	3237		
	3238	160	3	028*050	2305	TC	3238		
	3239	160	3	028*047	3166	TC	3239		
	3240	160	3	028*047	25395	TGR-B1	3240		
	3241	180	1	028*056	13387	DCY	3241		
	3242	160	18	029*041	24741	DC4	3242		
	3243	160	7	030*047	32000	TG-PL	3243		
	3244	160	3	032*042		TC4	3244		
	3245	160	6	032*042	3573	TC	3245		
	3246	160	0	032*040	8310	TC	3246		
	3247	160	3	032*043	10966	TC4	3247		
	3248	160	3	032*045	26257	SC	3248		
