post_id,post_type,title,permalink,keyword,seo_meta_title,description
1,post,"Привет, мир!",http://artibaltika/%d0%bf%d1%80%d0%b8%d0%b2%d0%b5%d1%82-%d0%bc%d0%b8%d1%80/,,,
2,page,Пример страницы,http://artibaltika/sample-page/,,,
4,page,Каталог РТИ,http://artibaltika/,,,
6,page,Доставка и оплата,http://artibaltika/dostavka-i-oplata/,,,
8,page,Каталог ,http://artibaltika/katalog/,,,
10,page,Оптовикам,http://artibaltika/informaciya/,,,
12,page,Контакты,http://artibaltika/kontakty/,,,
19,page,Shop,http://artibaltika/shop/,,,
20,page,Корзина,http://artibaltika/cart/,,,
21,page,Оплата,http://artibaltika/checkout/,,,
22,page,Профиль,http://artibaltika/my-account/,,,
23,page,Lost Password,http://artibaltika/my-account/lost-password/,,,
24,page,Edit My Address,http://artibaltika/my-account/edit-address/,,,
25,page,Посмотреть заказ,http://artibaltika/my-account/view-order/,,,
26,page,Изменить пароль,http://artibaltika/my-account/change-password/,,,
27,page,Выйти,http://artibaltika/my-account/logout/,,,
28,page,Checkout &rarr; Pay,http://artibaltika/checkout/pay/,,,
29,page,Заказ Получен,http://artibaltika/checkout/order-received/,,,
1484,product_variation,Product #1479 Variation,http://artibaltika/?product_variation=product-1479-variation,,,
1485,product_variation,Product #1479 Variation,http://artibaltika/?product_variation=product-1479-variation-2,,,
1491,page,Slider,http://artibaltika/slider/,,,
2586,product,F-0000A,http://artibaltika/shop/salniki-rulevyx-reek/rezinovoe-kolco-f-0000a/,,Купить резиновое кольцо A01090 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить резиновое кольцо A01090 . Мир сальников, низкие цены!"
2587,product,F-00074,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00074/,,Купить пыльник рулевой рейки 1537017 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 1537017 . Мир сальников, низкие цены!"
2588,product,F-00355,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00355/,,Купить пыльник рулевой рейки 1537043 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 1537043 . Мир сальников, низкие цены!"
2589,product,F-00608,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00608/,,Купить пыльник рулевой рейки 449720 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 449720 . Мир сальников, низкие цены!"
2590,product,F-00102,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00102/,,Купить пыльник рулевой рейки 449710 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 449710 . Мир сальников, низкие цены!"
2591,product,F-00178,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00178/,,Купить пыльник рулевой рейки 449610 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 449610 . Мир сальников, низкие цены!"
2592,product,F-00726,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00726/,,Купить пыльник рулевой рейки 1538001 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 1538001 . Мир сальников, низкие цены!"
2593,product,F-00372,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00372/,,Купить пыльник рулевой рейки 1532005 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 1532005 . Мир сальников, низкие цены!"
2594,product,F-00523,http://artibaltika/shop/salniki-rulevyx-reek/pylnik-rulevoj-rejki-f-00523/,,Купить пыльник рулевой рейки 447520 rti-baltika.ru - Мир сальников,"Интернет магазин сальников и расходных материалов rti-baltika.ru предлагает купить пыльник рулевой рейки 447520 . Мир сальников, низкие цены!"
