post_id;post_type;title;permalink;keyword;seo_meta_title;description
2586;product;F-0000A;http://artibaltika/product/f-00074/;;;
2587;product;F-00074;http://artibaltika/product/f-00355/;;;
2588;product;F-00355;http://artibaltika/product/f-00608/;;;
2589;product;F-00608;http://artibaltika/product/f-00102/;;;
2590;product;F-00102;http://artibaltika/product/f-00178/;;;
2591;product;F-00178;http://artibaltika/product/f-00726/;;;
2592;product;F-00726;http://artibaltika/product/f-00372/;;;
2593;product;F-00372;http://artibaltika/product/f-00523/;;;
2594;product;F-00523;http://artibaltika/product/f-00432/;;;
2595;product;F-00432;http://artibaltika/product/f-00597/;;;
2596;product;F-00597;http://artibaltika/product/f-00744/;;;
2597;product;F-00744;http://artibaltika/product/f-00365/;;;
2598;product;F-00365;http://artibaltika/product/f-00052/;;;
2599;product;F-00052;http://artibaltika/product/f-00555/;;;
2600;product;F-00149;http://artibaltika/product/f-00149/;;;
2601;product;F-00555;http://artibaltika/product/f-00894/;;;
2602;product;F-00689;http://artibaltika/product/f-00689/;;;
2603;product;F-00894;http://artibaltika/product/f-01106/;;;
2604;product;F-01106;http://artibaltika/product/f-00976/;;;
2605;product;F-00976;http://artibaltika/product/f-00148/;;;
2606;product;F-00148;http://artibaltika/product/f-00506/;;;
2607;product;F-00506;http://artibaltika/product/f-00606/;;;
2608;product;F-00586;http://artibaltika/product/f-00356/;;;
2609;product;F-00556;http://artibaltika/product/f-00414/;;;
2610;product;F-00356;http://artibaltika/product/f-00473/;;;
2611;product;F-00414;http://artibaltika/product/f-00154/;;;
2612;product;F-00473;http://artibaltika/product/f-00465/;;;
2613;product;F-00154;http://artibaltika/product/f-00165/;;;
2614;product;F-00465;http://artibaltika/product/f-00122/;;;
2615;product;F-00165;http://artibaltika/product/f-00687/;;;
2616;product;F-00122;http://artibaltika/product/f-00781x/;;;
2617;product;F-00687;http://artibaltika/product/f-00982/;;;
2618;product;F-00781X;http://artibaltika/product/f-00519/;;;
2619;product;F-00519;http://artibaltika/product/f-00182/;;;
2620;product;F-00982;http://artibaltika/product/f-00080/;;;
2621;product;F-00182;http://artibaltika/product/f-00632/;;;
2622;product;F-00080;http://artibaltika/product/f-00782/;;;
2623;product;F-00632;http://artibaltika/product/f-00152/;;;
2624;product;F-00782;http://artibaltika/product/f-00771/;;;
2625;product;F-00152;http://artibaltika/product/f-00855/;;;
2626;product;F-00771;http://artibaltika/product/f-01091/;;;
2627;product;F-00855;http://artibaltika/product/f-00051/;;;
2628;product;F-01091;http://artibaltika/product/f-00183/;;;
2629;product;F-00051;http://artibaltika/product/f-00517/;;;
2630;product;F-00183;http://artibaltika/product/f-00648/;;;
2631;product;F-00517;http://artibaltika/product/f-00117/;;;
2632;product;F-00648;http://artibaltika/product/f-00959/;;;
2633;product;F-00117;http://artibaltika/product/f-00164/;;;
2634;product;F-00959;http://artibaltika/product/f-00741/;;;
2635;product;F-00164;http://artibaltika/product/f-00421x/;;;
2636;product;F-00741;http://artibaltika/product/f-00185/;;;
2637;product;F-00421X;http://artibaltika/product/f-00464/;;;
2638;product;F-00185;http://artibaltika/product/f-00484x/;;;
2639;product;F-00464;http://artibaltika/product/f-00561x/;;;
2640;product;F-00484X;http://artibaltika/product/f-00136/;;;
2641;product;F-00114X;http://artibaltika/product/f-00657/;;;
2642;product;F-00366X;http://artibaltika/product/f-00189/;;;
2643;product;F-00403X;http://artibaltika/product/f-00395/;;;
2644;product;F-00600X;http://artibaltika/product/f-01140/;;;
2645;product;F-00779X;http://artibaltika/product/f-00313x/;;;
2646;product;F-01072X;http://artibaltika/product/f-00993x/;;;
2648;product;F-00136;http://artibaltika/product/f-00307/;;;
2649;product;F-00657;http://artibaltika/product/f-00313/;;;
2650;product;F-00189;http://artibaltika/product/f-00484/;;;
2651;product;F-00395;http://artibaltika/product/f-00459/;;;
2652;product;F-01140;http://artibaltika/product/f-00993/;;;
2653;product;F-00313X;http://artibaltika/product/f-00110/;;;
2654;product;F-00993X;http://artibaltika/product/f-00740/;;;
2655;product;F-00163X;http://artibaltika/product/f-00111/;;;
2656;product;F-00307;http://artibaltika/product/f-00315/;;;
2657;product;F-00313;http://artibaltika/product/f-00769/;;;
2658;product;F-00484;http://artibaltika/product/f-00114/;;;
2659;product;F-00459;http://artibaltika/product/f-00366/;;;
2660;product;F-00993;http://artibaltika/product/f-00403/;;;
2661;product;F-00110;http://artibaltika/product/f-00600/;;;
2662;product;F-00740;http://artibaltika/product/f-00779/;;;
2663;product;F-00111;http://artibaltika/product/f-01072/;;;
2664;product;F-00315;http://artibaltika/product/f-00187/;;;
2665;product;F-00769;http://artibaltika/product/f-00418/;;;
2666;product;F-00619;http://artibaltika/product/f-01051/;;;
2667;product;F-00114;http://artibaltika/product/f-01052/;;;
2668;product;F-00403;http://artibaltika/product/f-00039/;;;
2669;product;F-00600;http://artibaltika/product/f-00040/;;;
2670;product;F-00779;http://artibaltika/product/f-00030/;;;
2671;product;F-01072;http://artibaltika/product/f-00849/;;;
2672;product;F-00366;http://artibaltika/product/f-00011/;;;
2673;product;F-00187;http://artibaltika/product/f-00037/;;;
2674;product;F-00418;http://artibaltika/product/f-01100/;;;
2675;product;F-01051;http://artibaltika/product/f-01105/;;;
2676;product;F-01052;http://artibaltika/product/f-00140/;;;
2677;product;F-00030A;http://artibaltika/product/f-00886/;;;
2678;product;F-00039;http://artibaltika/product/f-00184/;;;
2679;product;F-00040;http://artibaltika/product/f-00607/;;;
2680;product;F-00011;http://artibaltika/product/f-00144/;;;
2681;product;F-00037;http://artibaltika/product/f-00143/;;;
2682;product;F-00849;http://artibaltika/product/f-00145/;;;
2683;product;F-01100;http://artibaltika/product/f-00421/;;;
2684;product;F-01105;http://artibaltika/product/f-01071/;;;
2685;product;F-00140;http://artibaltika/product/f-00529/;;;
2686;product;F-00886;http://artibaltika/product/f-00087/;;;
2687;product;F-00184;http://artibaltika/product/f-00677/;;;
2688;product;F-00308;http://artibaltika/product/f-00688/;;;
2689;product;F-00607;http://artibaltika/product/f-00895/;;;
2690;product;F-00533;http://artibaltika/product/f-00368/;;;
2691;product;F-00144;http://artibaltika/product/f-00561/;;;
2692;product;F-00143;http://artibaltika/product/f-00868/;;;
2693;product;F-00145;http://artibaltika/product/f-00146/;;;
2694;product;F-00421;http://artibaltika/product/f-00163/;;;
2695;product;F-01071;http://artibaltika/product/f-00158/;;;
2696;product;F-00529;http://artibaltika/product/f-00641/;;;
2697;product;F-00087;http://artibaltika/product/f-00436/;;;
2698;product;F-00677;http://artibaltika/product/f-00915/;;;
2699;product;F-00688;http://artibaltika/product/f-00138/;;;
2700;product;F-00895;http://artibaltika/product/f-00063/;;;
2701;product;F-00868;http://artibaltika/product/f-00297/;;;
2702;product;F-00368;http://artibaltika/product/f-00558/;;;
2703;product;F-00561;http://artibaltika/product/f-00663/;;;
2704;product;F-00146;http://artibaltika/product/f-00681/;;;
2705;product;F-00158;http://artibaltika/product/f-00887/;;;
2706;product;F-00163;http://artibaltika/product/f-00978/;;;
2707;product;F-00641;http://artibaltika/product/f-01159/;;;
2708;product;F-00436;http://artibaltika/product/f-00884/;;;
2709;product;F-00915;http://artibaltika/product/f-00058/;;;
2710;product;F-00063X;http://artibaltika/product/f-00217/;;;
2711;product;F-00297X;http://artibaltika/product/f-00640/;;;
2712;product;F-00558X;http://artibaltika/product/f-00609/;;;
